Hertz Global Holdings PE Ratio Historical Data,Hertz Global Holdings PE Ratio Historical Data,Hertz Global Holdings PE Ratio Historical Data,Hertz Global Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.24,,0.0
2024-06-30,3.53,$-3.65,0.0
2024-03-31,7.83,$-0.39,0.0
2023-12-31,10.39,$0.83,12.52
2023-09-30,12.25,$1.96,6.25
2023-06-30,18.39,$2.37,7.76
2023-03-31,16.29,$3.06,5.32
2022-12-31,15.39,$3.27,4.71
2022-09-30,16.28,$1.76,9.25
2022-06-30,15.84,$0.43,36.84
2022-03-31,22.15,$-0.70,0.0
2021-12-31,24.99,$-1.52,0.0
2020-09-30,1.11,0,0.0
2020-06-30,1.41,0,0.0
2020-03-31,6.18,0,0.0
2019-12-31,15.75,0,0.0
2019-09-30,13.84,0,0.0
2019-06-30,15.96,0,0.0
2019-03-31,17.37,0,0.0
2018-12-31,13.65,0,0.0
2018-09-30,16.33,0,0.0
2018-06-30,15.34,0,0.0
2018-03-31,19.85,0,0.0
2017-12-31,22.1,0,0.0
2017-09-30,22.36,0,0.0
2017-06-30,11.5,0,0.0
2017-03-31,17.54,0,0.0
2016-12-31,21.56,0,0.0
2016-09-30,40.16,0,0.0
2016-06-30,55.35,0,0.0
2016-03-31,52.65,0,0.0
2015-06-30,90.6,0,0.0
