Centerspace PE Ratio Historical Data,Centerspace PE Ratio Historical Data,Centerspace PE Ratio Historical Data,Centerspace PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,70.04,,0.0
2024-06-30,67.63,$-0.80,0.0
2024-03-31,57.14,$-0.80,0.0
2023-12-31,58.2,$2.33,24.98
2023-09-30,60.26,$2.74,21.99
2023-06-30,60.63,$2.19,27.68
2023-03-31,53.34,$2.08,25.64
2022-12-31,57.28,$-1.36,0.0
2022-09-30,64.92,$-1.73,0.0
2022-06-30,78.65,$-2.40,0.0
2022-03-31,94.63,$-0.62,0.0
2021-12-31,106.17,$-0.43,0.0
2021-09-30,90.47,$-0.28,0.0
2021-06-30,74.98,$1.91,39.26
2021-03-31,64.62,$0.03,2154.03
2020-12-31,67.13,$-0.15,0.0
2020-09-30,61.93,$4.20,14.75
2020-06-30,66.99,$5.36,12.5
2020-03-31,52.27,$5.87,8.9
2019-12-31,67.99,$6.00,11.33
2019-09-30,70.03,$2.11,33.19
2019-06-30,54.49,$-0.43,0.0
2019-03-31,55.0,$-1.04,0.0
2018-12-31,44.51,$-0.50,0.0
2018-10-31,4.86,$-2.40,0.0
2018-09-30,5.35,$-2.40,0.0
2018-07-31,4.84,$-1.90,0.0
2018-03-31,4.58,$-1.90,0.0
2018-01-31,5.01,0,0.0
2017-10-31,5.1,0,0.0
2017-07-31,5.43,0,0.0
2017-04-30,5.1,0,0.0
2017-01-31,5.49,0,0.0
2016-10-31,5.13,0,0.0
2016-07-31,5.47,0,0.0
2016-04-30,4.98,0,0.0
2016-01-31,5.39,0,0.0
2015-10-31,6.71,0,0.0
2015-07-31,5.85,$0.10,58.48
2015-04-30,5.82,$0.10,58.15
2015-01-31,6.57,$0.10,65.71
2018-06-30,4.88,$0.10,48.84
2014-10-31,6.59,0,0.0
2014-07-31,6.68,0,0.0
2014-04-30,6.74,0,0.0
2014-01-31,6.62,0,0.0
2013-10-31,6.47,0,0.0
2013-07-31,6.38,0,0.0
2013-04-30,7.07,0,0.0
2013-01-31,6.71,0,0.0
2012-10-31,5.95,0,0.0
2012-07-31,5.67,0,0.0
2012-04-30,4.93,0,0.0
2012-01-31,4.99,0,0.0
2011-10-31,4.89,0,0.0
2011-04-30,6.0,0,0.0
2011-01-31,5.59,0,0.0
2010-10-31,5.4,0,0.0
2010-07-31,5.09,0,0.0
2010-04-30,5.15,0,0.0
2010-01-31,5.06,0,0.0
2009-10-31,4.76,0,0.0
2018-04-30,4.71,0,0.0
2009-07-31,5.2,0,0.0
