PTC Therapeutics PE Ratio Historical Data,PTC Therapeutics PE Ratio Historical Data,PTC Therapeutics PE Ratio Historical Data,PTC Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.01,,0.0
2024-06-30,30.58,$-6.31,0.0
2024-03-31,29.09,$-7.68,0.0
2023-12-31,27.56,$-8.36,0.0
2023-09-30,22.41,$-8.65,0.0
2023-06-30,40.67,$-8.42,0.0
2023-03-31,48.44,$-7.89,0.0
2022-12-31,38.17,$-7.79,0.0
2022-09-30,50.2,$-7.47,0.0
2022-06-30,40.06,$-7.83,0.0
2022-03-31,37.31,$-7.38,0.0
2021-12-31,39.83,$-7.43,0.0
2021-09-30,37.21,$-6.48,0.0
2021-06-30,42.27,$-5.62,0.0
2021-03-31,47.35,$-6.72,0.0
2020-12-31,61.03,$-6.70,0.0
2020-09-30,46.75,$-6.99,0.0
2020-06-30,50.74,$-7.02,0.0
2020-03-31,44.61,$-4.99,0.0
2019-12-31,48.03,$-4.47,0.0
2019-09-30,33.82,$-4.06,0.0
2019-06-30,45.0,$-4.06,0.0
2019-03-31,37.64,$-3.52,0.0
2018-12-31,34.32,$-2.69,0.0
2018-09-30,47.0,$-1.70,0.0
2018-06-30,33.73,$-1.46,0.0
2018-03-31,27.06,$-1.69,0.0
2017-12-31,16.68,$-2.08,0.0
2017-09-30,20.01,$-2.89,0.0
2017-06-30,18.33,$-3.10,0.0
2017-03-31,9.84,$-3.80,0.0
2016-12-31,10.91,$-4.17,0.0
2016-09-30,14.01,$-4.89,0.0
2016-06-30,7.02,$-5.13,0.0
2016-03-31,6.44,$-5.13,0.0
2015-12-31,32.4,$-5.06,0.0
2015-09-30,26.7,$-4.40,0.0
2015-06-30,48.13,$-4.06,0.0
2015-03-31,60.85,$-3.78,0.0
2014-12-31,51.77,$-3.21,0.0
2014-09-30,44.01,$-3.12,0.0
2014-06-30,26.14,$-2.38,0.0
2014-03-31,26.14,$-7.03,0.0
