United States Lime & Minerals PE Ratio Historical Data,United States Lime & Minerals PE Ratio Historical Data,United States Lime & Minerals PE Ratio Historical Data,United States Lime & Minerals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,104.32,,34.59
2024-06-30,72.79,$3.02,24.14
2024-03-31,59.55,$2.80,21.3
2023-12-31,45.96,$2.61,17.6
2023-09-30,40.07,$2.40,16.72
2023-06-30,41.6,$2.22,18.71
2023-03-31,30.38,$1.89,16.04
2022-12-31,27.97,$1.60,17.48
2022-09-30,20.28,$1.49,13.63
2022-06-30,20.91,$1.33,15.7
2022-03-31,22.94,$1.36,16.82
2021-12-31,25.46,$1.31,19.5
2021-09-30,23.81,$1.29,18.4
2021-06-30,27.39,$1.23,22.34
2021-03-31,26.3,$1.05,25.05
2020-12-31,22.4,$1.00,22.44
2020-09-30,17.67,$0.92,19.21
2020-06-30,16.53,$0.94,17.55
2020-03-31,14.43,$0.94,15.35
2019-12-31,17.61,$0.93,19.02
2019-09-30,14.12,$0.90,15.73
2019-06-30,14.74,$0.71,20.82
2019-03-31,14.19,$0.73,19.44
2018-12-31,13.04,$0.70,18.63
2018-09-30,14.47,$0.96,15.01
2018-06-30,15.35,$1.00,15.29
2018-03-31,13.37,$0.96,13.98
2017-12-31,14.06,$0.97,14.49
2017-09-30,15.29,$0.70,21.97
2017-06-30,14.26,$0.71,20.03
2017-03-31,14.33,$0.66,21.84
2016-12-31,13.72,$0.64,21.57
2016-09-30,11.93,$0.58,20.65
2016-06-30,10.64,$0.56,18.94
2016-03-31,10.8,$0.52,20.69
2015-12-31,9.87,$0.51,19.35
2015-09-30,8.18,$0.62,13.15
2015-06-30,10.39,$0.62,16.64
2014-12-31,12.97,$0.69,18.74
2014-09-30,10.33,$0.65,15.84
2014-06-30,11.49,$0.54,21.2
2014-03-31,9.96,$0.51,19.54
2013-12-31,10.8,$0.52,20.93
2015-03-31,11.5,$0.52,22.04
2013-09-30,10.35,$0.57,18.03
2013-06-30,9.23,$0.54,16.96
2013-03-31,9.39,$0.52,17.92
2012-12-31,8.32,$0.57,14.5
2012-09-30,8.51,$0.58,14.63
2012-06-30,8.24,$0.66,12.45
2012-03-31,10.58,$0.70,15.19
2011-12-31,10.61,$0.70,15.25
2011-09-30,7.05,$0.65,10.84
2011-06-30,7.24,$0.57,12.7
2011-03-31,7.15,$0.57,12.64
2010-12-31,7.44,$0.56,13.24
2010-09-30,6.83,$0.56,12.23
2010-06-30,6.8,$0.56,12.23
2010-03-31,6.83,$0.49,14.05
2009-12-31,6.1,$0.43,14.31
