Kontoor Brands PE Ratio Historical Data,Kontoor Brands PE Ratio Historical Data,Kontoor Brands PE Ratio Historical Data,Kontoor Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,83.12,,19.65
2024-06-30,65.69,$4.23,15.53
2024-03-31,59.42,$3.95,15.04
2023-12-31,61.06,$4.06,15.04
2023-09-30,42.56,$3.76,11.32
2023-06-30,40.36,$3.61,11.18
2023-03-31,45.87,$4.06,11.3
2022-12-31,37.56,$4.30,8.73
2022-09-30,31.21,$4.14,7.54
2022-06-30,30.59,$4.31,7.1
2022-03-31,37.46,$3.62,10.35
2021-12-31,45.9,$3.31,13.87
2021-09-30,44.35,$3.30,13.44
2021-06-30,49.71,$3.28,15.15
2021-03-31,42.5,$2.30,18.48
2020-12-31,35.23,$1.16,30.37
2020-09-30,20.84,$0.92,22.65
2020-06-30,15.34,$0.12,127.81
2020-03-31,16.51,$1.37,12.05
