EastGroup Properties PE Ratio Historical Data,EastGroup Properties PE Ratio Historical Data,EastGroup Properties PE Ratio Historical Data,EastGroup Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,182.02,,38.08
2024-06-30,168.83,$4.78,35.32
2024-03-31,177.11,$4.61,38.42
2023-12-31,179.54,$4.41,40.71
2023-09-30,161.79,$3.95,40.96
2023-06-30,167.38,$3.75,44.64
2023-03-31,158.25,$3.87,40.89
2022-12-31,140.65,$4.39,32.04
2022-09-30,135.97,$5.25,25.9
2022-06-30,144.11,$5.14,28.04
2022-03-31,188.49,$4.74,39.77
2021-12-31,210.15,$3.89,54.02
2021-09-30,152.94,$3.08,49.66
2021-06-30,150.14,$2.94,51.07
2021-03-31,130.19,$2.85,45.68
2020-12-31,124.76,$2.76,45.2
2020-09-30,116.21,$3.10,37.49
2020-06-30,105.93,$3.08,34.39
2020-03-31,92.71,$3.21,28.88
2019-12-31,116.89,$3.23,36.19
2019-09-30,109.53,$2.46,44.52
2019-06-30,101.0,$2.50,40.4
2019-03-31,96.61,$2.29,42.19
2018-12-31,78.88,$2.50,31.55
2018-09-30,81.57,$2.50,32.63
2018-06-30,80.9,$2.32,34.87
2018-03-31,69.5,$2.88,24.13
2017-12-31,73.74,$2.43,30.35
2017-09-30,73.01,$2.38,30.68
2017-06-30,68.94,$2.37,29.09
2017-03-31,60.06,$2.64,22.75
2016-12-31,59.8,$2.93,20.41
2016-09-30,59.06,$2.82,20.94
2016-06-30,54.84,$2.74,20.02
2016-03-31,47.61,$1.84,25.88
2015-12-31,43.41,$1.48,29.33
2015-09-30,41.85,$1.53,27.35
2015-06-30,42.95,$1.72,24.97
2015-03-31,45.48,$1.56,29.16
2014-12-31,47.43,$1.52,31.2
2014-09-30,44.98,$1.43,31.46
2014-06-30,47.25,$1.15,41.08
2014-03-31,45.89,$1.11,41.34
2013-12-31,41.89,$1.08,38.79
2013-09-30,42.43,$1.18,35.95
2013-06-30,39.95,$1.13,35.35
2013-03-31,40.93,$1.16,35.28
2012-12-31,37.49,$1.12,33.48
2012-09-30,36.69,$0.95,38.62
2012-06-30,36.41,$0.93,39.15
2012-03-31,33.95,$0.85,39.94
2011-12-31,29.09,$0.83,35.05
2011-09-30,25.19,$0.77,32.72
2011-06-30,27.72,$0.71,39.04
2011-03-31,28.31,$0.68,41.64
2010-12-31,26.91,$0.68,39.58
2010-09-30,23.48,$0.72,32.61
2010-06-30,22.04,$0.81,27.21
2010-03-31,23.06,$0.92,25.06
2009-12-31,23.07,$1.05,21.98
