Privia Health PE Ratio Historical Data,Privia Health PE Ratio Historical Data,Privia Health PE Ratio Historical Data,Privia Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.44,,153.67
2024-06-30,17.38,$0.12,144.83
2024-03-31,19.59,$0.15,130.6
2023-12-31,23.03,$0.27,85.3
2023-09-30,23.0,$0.26,88.46
2023-06-30,26.11,$0.11,237.36
2022-12-31,22.71,$-0.11,0.0
2022-09-30,34.06,$-0.36,0.0
2022-06-30,29.12,$-0.46,0.0
2022-03-31,26.73,$-2.04,0.0
2021-12-31,25.87,$-1.82,0.0
