Tractor Supply PE Ratio Historical Data,Tractor Supply PE Ratio Historical Data,Tractor Supply PE Ratio Historical Data,Tractor Supply PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,267.55,,25.8
2024-06-30,268.92,$10.37,25.93
2024-03-31,259.66,$10.27,25.28
2023-12-31,212.37,$10.09,21.05
2023-09-30,199.5,$10.24,19.48
2023-06-30,216.2,$10.01,21.6
2023-03-31,228.71,$9.71,23.55
2022-12-31,217.94,$9.99,21.82
2022-09-30,179.32,$9.51,18.86
2022-06-30,186.17,$10.60,17.56
2021-12-31,226.94,$8.62,26.33
2021-09-30,192.27,$7.84,24.52
2021-06-30,176.1,$7.54,23.36
2021-03-31,167.13,$5.97,28.0
2020-12-31,132.28,$7.32,18.07
2022-03-31,222.92,$6.88,32.4
2020-09-30,134.46,$6.44,20.88
2020-06-30,123.31,$5.84,21.11
2020-03-31,78.86,$4.74,16.64
2019-12-31,86.85,$4.66,18.64
2019-09-30,83.76,$4.56,18.37
2019-06-30,100.4,$4.49,22.36
2019-03-31,89.9,$4.38,20.53
2018-12-31,76.48,$4.32,17.7
2018-09-30,83.02,$4.08,20.35
2018-06-30,69.63,$3.85,18.09
2018-03-31,57.12,$3.41,16.75
2017-12-31,67.48,$3.30,20.45
2017-09-30,56.9,$3.37,16.88
2017-06-30,48.5,$3.32,14.61
2017-03-31,61.41,$3.23,19.01
2016-12-31,67.28,$3.27,20.57
2016-09-30,59.56,$3.15,18.91
2016-06-30,80.4,$3.12,25.77
2016-03-31,79.57,$3.08,25.83
2015-12-31,75.03,$3.39,22.13
2015-09-30,73.8,$3.12,23.65
2015-06-30,78.58,$3.43,22.91
2014-12-31,68.58,$2.66,25.78
2014-09-30,53.4,$2.53,21.11
2014-06-30,52.3,$2.40,21.79
2014-03-31,61.01,$1.91,31.94
2013-12-31,66.88,$2.44,27.46
2015-03-31,74.14,$2.07,35.91
2013-09-30,57.8,$2.20,26.27
2013-06-30,50.46,$2.09,24.2
2013-03-31,44.6,$1.94,23.05
2012-12-31,37.77,$1.90,19.88
2012-09-30,42.18,$1.83,23.11
2012-06-30,35.35,$1.77,19.97
2012-03-31,38.46,$1.66,23.17
2011-12-31,29.75,$1.51,19.77
2011-09-30,26.47,$1.36,19.47
2011-06-30,28.26,$1.29,21.99
2011-03-31,25.24,$1.18,21.35
2010-12-31,20.42,$1.13,18.15
2010-09-30,16.67,$1.05,15.88
2010-06-30,12.79,$0.99,12.99
2010-03-31,12.15,$0.85,14.34
2009-12-31,11.06,$0.79,14.05
