Magnolia Oil & Gas Corp PE Ratio Historical Data,Magnolia Oil & Gas Corp PE Ratio Historical Data,Magnolia Oil & Gas Corp PE Ratio Historical Data,Magnolia Oil & Gas Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.49,,12.99
2024-06-30,25.21,$2.04,12.36
2024-03-31,25.68,$2.01,12.78
2023-12-31,20.94,$2.05,10.22
2023-09-30,22.41,$2.72,8.24
2023-06-30,20.35,$3.47,5.86
2023-03-31,21.17,$4.31,4.91
2022-12-31,22.58,$4.71,4.79
2022-09-30,19.0,$4.33,4.39
2022-06-30,20.05,$3.71,5.4
2022-03-31,22.59,$2.87,7.87
2021-12-31,17.86,$2.34,7.63
2021-09-30,16.83,$1.68,10.02
2021-06-30,14.71,$1.06,13.88
2021-03-31,10.8,$0.47,22.99
2020-12-31,6.64,$-7.24,0.0
2020-09-30,4.87,$-7.35,0.0
2020-06-30,5.7,$-7.35,0.0
2020-03-31,3.76,$-7.12,0.0
2019-12-31,11.84,$0.30,39.47
2019-09-30,10.45,$0.46,22.71
2019-06-30,10.9,$0.41,26.58
2019-03-31,11.29,$0.25,45.18
2018-12-31,10.55,$0.15,70.34
2018-09-30,14.13,$-0.06,0.0
2018-06-30,10.23,$-0.06,0.0
2018-03-31,9.52,$-0.02,0.0
