Darling Ingredients PE Ratio Historical Data,Darling Ingredients PE Ratio Historical Data,Darling Ingredients PE Ratio Historical Data,Darling Ingredients PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.21,,16.32
2024-06-30,36.75,$2.28,16.12
2024-03-31,46.51,$3.34,13.93
2023-12-31,49.84,$3.98,12.52
2023-09-30,52.2,$4.42,11.81
2023-06-30,63.79,$4.82,13.23
2023-03-31,58.4,$4.50,12.98
2022-12-31,62.59,$4.50,13.91
2022-09-30,66.15,$4.48,14.77
2022-06-30,59.8,$4.19,14.27
2022-03-31,80.38,$4.13,19.46
2021-12-31,69.29,$3.89,17.81
2021-09-30,71.9,$3.22,22.33
2021-06-30,67.5,$2.95,22.88
2021-03-31,73.58,$2.17,33.91
2020-12-31,57.68,$1.78,32.4
2020-09-30,36.03,$2.95,12.21
2020-06-30,24.62,$2.49,9.89
2020-03-31,19.17,$2.26,8.48
2019-12-31,28.08,$1.86,15.1
2019-09-30,19.13,$0.66,28.98
2019-06-30,19.89,$0.47,42.32
2019-03-31,21.65,$0.13,166.54
2018-12-31,19.24,$0.60,32.07
2018-09-30,19.32,$0.99,19.52
2018-06-30,19.88,$1.08,18.41
2018-03-31,17.3,$1.31,13.21
2017-12-31,18.13,$0.77,23.55
2017-09-30,17.52,$0.39,44.92
2017-06-30,15.74,$0.51,30.86
2017-03-31,14.52,$0.65,22.34
2016-12-31,12.91,$0.62,20.82
2016-09-30,13.51,$0.89,15.18
2016-06-30,14.9,$0.66,22.58
2016-03-31,13.17,$0.49,26.88
2015-12-31,10.52,$0.48,21.92
2015-09-30,11.24,$0.38,29.58
2015-06-30,14.66,$0.53,27.66
2015-03-31,14.01,$0.71,19.73
2014-12-31,18.16,$0.39,46.56
2014-09-30,18.32,$0.15,122.13
2014-06-30,20.9,$0.29,72.07
2014-03-31,20.02,$0.31,64.58
2013-12-31,20.88,$0.90,23.2
2013-09-30,21.16,$0.96,22.04
2013-06-30,18.66,$1.04,17.94
2013-03-31,17.96,$1.13,15.89
2012-12-31,16.04,$1.10,14.58
2012-09-30,18.29,$1.11,16.48
2012-06-30,16.49,$1.15,14.34
2012-03-31,17.42,$1.28,13.61
2011-12-31,13.29,$1.47,9.04
2011-09-30,12.59,$1.34,9.4
2011-06-30,17.7,$1.13,15.66
2011-03-31,15.37,$0.83,18.52
2010-12-31,13.28,$0.54,24.59
2010-09-30,8.52,$0.53,16.08
2010-06-30,7.51,$0.58,12.95
2010-03-31,8.96,$0.58,15.45
2009-12-31,8.38,$0.50,16.76
