SilverCrest Metals PE Ratio Historical Data,SilverCrest Metals PE Ratio Historical Data,SilverCrest Metals PE Ratio Historical Data,SilverCrest Metals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.27,,14.46
2024-06-30,8.15,$0.71,11.48
2024-03-31,6.66,$0.83,8.02
2023-12-31,6.55,$0.78,8.4
2023-09-30,4.41,$0.58,7.6
2023-06-30,5.86,$0.55,10.65
2023-03-31,7.14,$0.45,15.87
2022-12-31,6.0,$0.21,28.57
2022-09-30,5.53,$0.11,50.27
2022-06-30,6.11,$-0.01,0.0
2022-03-31,8.91,$-0.13,0.0
2021-12-31,7.91,$-0.16,0.0
2021-09-30,6.98,$-0.24,0.0
2021-06-30,8.73,$-0.43,0.0
2021-03-31,8.08,$-0.47,0.0
2020-12-31,11.18,$-0.49,0.0
2020-09-30,8.49,$-0.52,0.0
2020-06-30,9.16,$-0.40,0.0
2020-03-31,5.22,$-0.33,0.0
2019-12-31,6.74,$-0.24,0.0
2019-06-30,4.06,$-0.09,0.0
2019-03-31,3.28,$-0.09,0.0
