Watts Water Technologies PE Ratio Historical Data,Watts Water Technologies PE Ratio Historical Data,Watts Water Technologies PE Ratio Historical Data,Watts Water Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,207.57,,25.19
2024-06-30,182.97,$8.24,22.21
2024-03-31,212.09,$8.06,26.31
2023-12-31,207.52,$7.94,26.14
2023-09-30,171.82,$8.02,21.42
2023-06-30,182.32,$8.13,22.43
2022-12-31,144.53,$7.48,19.32
2022-09-30,124.03,$6.61,18.76
2022-06-30,120.92,$6.79,17.81
2022-03-31,137.09,$6.09,22.51
2021-12-31,190.35,$5.59,34.05
2023-03-31,166.65,$5.64,29.55
2021-09-30,164.56,$4.57,36.01
2021-06-30,142.63,$4.17,34.2
2021-03-31,115.92,$3.65,31.76
2020-12-31,118.5,$3.36,35.27
2020-09-30,97.32,$3.43,28.37
2020-06-30,78.53,$3.40,23.1
2020-03-31,81.84,$3.87,21.15
2019-12-31,96.21,$3.84,25.06
2019-09-30,90.19,$3.76,23.99
2019-06-30,89.43,$3.74,23.91
2019-03-31,77.35,$3.73,20.74
2018-12-31,61.6,$3.64,16.92
2018-09-30,79.23,$2.72,29.13
2018-06-30,74.65,$2.57,29.05
2018-03-31,73.78,$2.31,31.94
2017-12-31,71.94,$2.12,33.93
2017-09-30,65.38,$2.70,24.21
2017-06-30,59.52,$2.56,23.25
2017-03-31,58.54,$2.60,22.52
2016-12-31,61.05,$2.44,25.02
2016-09-30,60.55,$-1.48,0.0
2016-06-30,54.26,$-2.84,0.0
2016-03-31,51.18,$-3.12,0.0
2015-12-31,45.96,$-3.26,0.0
2015-09-30,48.73,$-0.07,0.0
2015-06-30,47.69,$1.30,36.68
2015-03-31,50.46,$1.35,37.37
2014-12-31,58.01,$1.42,40.85
2014-09-30,53.14,$1.87,28.42
2014-06-30,56.17,$1.66,33.84
2014-03-31,53.25,$1.59,33.49
2013-12-31,56.02,$1.64,34.16
2013-09-30,50.93,$1.85,27.53
2013-06-30,40.86,$1.95,20.96
2013-03-31,43.13,$1.93,22.35
2012-12-31,38.55,$1.90,20.29
2012-09-30,33.82,$1.92,17.61
2012-06-30,29.72,$2.02,14.71
2012-03-31,36.21,$1.90,19.06
2011-12-31,30.31,$1.77,17.13
2011-09-30,23.54,$1.61,14.62
2011-06-30,31.14,$1.44,21.63
2011-03-31,33.48,$1.64,20.42
2010-12-31,31.99,$1.67,19.16
2010-09-30,29.67,$1.80,16.49
2010-06-30,24.89,$1.43,17.41
2010-03-31,26.88,$0.74,36.32
2009-12-31,26.66,$0.39,68.36
