Horace Mann Educators PE Ratio Historical Data,Horace Mann Educators PE Ratio Historical Data,Horace Mann Educators PE Ratio Historical Data,Horace Mann Educators PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.35,,36.98
2024-06-30,32.3,$1.01,31.98
2023-12-31,31.74,$1.08,29.39
2023-09-30,28.24,$-0.32,0.0
2023-06-30,28.19,$0.04,704.8
2023-03-31,31.48,$0.68,46.29
2022-12-31,34.79,$0.22,158.15
2024-03-31,36.26,$1.02,35.55
2022-09-30,32.57,$1.34,24.3
2022-06-30,35.11,$1.40,25.08
2022-03-31,37.92,$2.81,13.49
2021-12-31,34.81,$3.39,10.27
2021-09-30,35.49,$3.56,9.97
2021-06-30,33.12,$4.04,8.2
2021-03-31,37.93,$3.66,10.36
2020-12-31,36.64,$3.17,11.56
2020-09-30,28.91,$2.82,10.25
2020-06-30,31.52,$2.55,12.36
2020-03-31,31.14,$4.06,7.67
2019-12-31,36.82,$4.39,8.39
2019-09-30,38.82,$3.12,12.44
2019-06-30,33.55,$2.82,11.9
2019-03-31,29.12,$0.72,40.44
2018-12-31,30.74,$0.43,71.48
2018-09-30,36.57,$3.92,9.33
2018-06-30,36.11,$4.26,8.48
2018-03-31,34.39,$4.17,8.25
2017-12-31,35.25,$4.06,8.68
2017-09-30,31.25,$1.54,20.29
2017-06-30,29.8,$1.55,19.23
2017-03-31,32.14,$1.79,17.95
2016-12-31,33.29,$2.03,16.4
2016-09-30,28.33,$2.05,13.82
2016-06-30,25.92,$1.92,13.5
2016-03-31,24.12,$2.01,12.0
2015-12-31,25.05,$2.21,11.33
2015-09-30,24.89,$2.42,10.29
2015-06-30,27.06,$2.50,10.82
2015-03-31,25.25,$2.60,9.71
2014-12-31,24.32,$2.46,9.89
2014-09-30,20.75,$2.56,8.1
2014-06-30,22.58,$2.53,8.92
2014-03-31,20.78,$2.68,7.75
2013-12-31,22.42,$2.67,8.4
2013-09-30,20.04,$2.63,7.62
2013-06-30,17.09,$2.84,6.02
2013-03-31,14.5,$2.53,5.73
2012-12-31,13.75,$2.51,5.48
2012-09-30,12.37,$2.54,4.87
2012-06-30,11.86,$2.32,5.11
2012-03-31,11.86,$1.70,6.98
2011-12-31,9.16,$1.68,5.46
2011-09-30,7.55,$1.24,6.09
2011-06-30,10.24,$1.17,8.75
2011-03-31,10.94,$2.03,5.39
2010-12-31,11.67,$1.96,5.96
2010-09-30,11.44,$2.14,5.34
2010-06-30,9.79,$2.13,4.6
2010-03-31,9.59,$2.03,4.72
2009-12-31,7.87,$1.81,4.35
