TFS Financial PE Ratio Historical Data,TFS Financial PE Ratio Historical Data,TFS Financial PE Ratio Historical Data,TFS Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.28,,47.43
2024-06-30,12.35,$0.28,44.11
2024-03-31,12.01,$0.27,44.5
2023-12-31,13.75,$0.26,52.88
2023-09-30,10.83,$0.27,40.12
2023-06-30,11.28,$0.29,38.89
2023-03-31,11.06,$0.29,38.13
2022-12-31,12.36,$0.29,42.63
2022-09-30,10.92,$0.27,40.46
2022-06-30,11.31,$0.24,47.12
2022-03-31,13.41,$0.24,55.89
2021-12-31,14.2,$0.26,54.61
2021-09-30,14.92,$0.29,51.43
2021-06-30,15.66,$0.28,55.93
2021-03-31,15.51,$0.32,48.48
2020-12-31,13.25,$0.30,44.18
2020-09-30,10.87,$0.30,36.23
2020-06-30,10.39,$0.33,31.49
2020-03-31,10.9,$0.29,37.59
2019-12-31,13.86,$0.30,46.19
2019-09-30,12.52,$0.28,44.7
2019-06-30,12.36,$0.28,44.15
2019-03-31,11.11,$0.29,38.31
2018-12-31,10.72,$0.30,35.74
2018-09-30,9.82,$0.30,32.73
2018-06-30,10.15,$0.30,33.84
2018-03-31,9.36,$0.31,30.19
2017-12-31,9.41,$0.31,30.36
2017-09-30,10.05,$0.31,32.41
2017-06-30,9.53,$0.31,30.73
2017-03-31,10.15,$0.30,33.84
2016-12-31,11.55,$0.29,39.81
2016-09-30,10.73,$0.28,38.32
2016-06-30,10.3,$0.28,36.79
2016-03-31,10.33,$0.27,38.28
2015-12-31,11.14,$0.25,44.55
2015-09-30,10.15,$0.25,40.6
2015-06-30,9.84,$0.22,44.72
2015-03-31,8.55,$0.22,38.85
2014-12-31,8.62,$0.22,39.2
2014-09-30,8.26,$0.21,39.32
2014-06-30,8.18,$0.21,38.97
2014-03-31,7.13,$0.20,35.67
2013-12-31,6.95,$0.19,36.59
2013-09-30,6.87,$0.18,38.16
2013-06-30,6.43,$0.13,49.44
2013-03-31,6.22,$0.08,77.76
2012-12-31,5.52,$0.04,138.02
2012-09-30,5.21,$0.03,173.51
2012-06-30,5.48,$0.06,91.35
2012-03-31,5.45,$0.08,68.15
2011-12-31,5.14,$0.09,57.13
2011-09-30,4.67,$0.04,116.65
2011-06-30,5.56,$-0.03,0.0
2011-03-31,6.09,$-0.02,0.0
2010-12-31,5.18,$-0.02,0.0
2010-09-30,5.27,$0.03,175.8
2010-06-30,7.12,$0.03,237.4
2010-03-31,7.62,$0.03,254.12
2009-12-31,6.89,$0.04,172.36
