Americold Realty Trust PE Ratio Historical Data,Americold Realty Trust PE Ratio Historical Data,Americold Realty Trust PE Ratio Historical Data,Americold Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.9,,0.0
2024-06-30,25.54,$-1.01,0.0
2024-03-31,24.92,$-1.17,0.0
2023-12-31,30.27,$-1.21,0.0
2023-09-30,30.41,$-0.40,0.0
2023-06-30,32.3,$-0.42,0.0
2023-03-31,28.45,$-0.02,0.0
2022-12-31,28.31,$-0.07,0.0
2022-09-30,24.6,$-0.11,0.0
2022-06-30,30.04,$-0.06,0.0
2022-03-31,27.68,$-0.12,0.0
2021-12-31,32.3,$-0.12,0.0
2021-09-30,28.42,$-0.30,0.0
2021-06-30,36.76,$-0.26,0.0
2021-03-31,37.15,$-0.05,0.0
2020-12-31,35.84,$0.12,298.68
2020-09-30,34.13,$0.43,79.37
2020-06-30,34.45,$0.51,67.55
2020-03-31,32.12,$0.38,84.53
2019-12-31,32.88,$0.24,137.02
2019-09-30,34.57,$0.16,216.06
2019-06-30,30.07,$0.19,158.26
2019-03-31,28.12,$0.36,78.12
2018-12-31,23.39,$0.31,75.46
