Endava PE Ratio Historical Data,Endava PE Ratio Historical Data,Endava PE Ratio Historical Data,Endava PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.46,,18.25
2023-12-31,77.85,$1.45,53.69
2023-09-30,57.35,$1.59,36.07
2023-06-30,51.79,$1.97,26.29
2023-03-31,67.18,$2.06,32.61
2022-12-31,76.5,$2.02,37.87
2022-09-30,80.63,$2.08,38.76
2022-06-30,88.27,$1.92,45.97
2022-03-31,133.03,$1.72,77.34
2021-12-31,167.92,$1.57,106.96
2021-09-30,135.85,$1.38,98.44
2021-06-30,113.38,$1.04,109.02
2021-03-31,84.69,$0.79,107.2
2020-12-31,76.75,$0.80,95.94
2020-09-30,63.15,$0.30,210.5
2020-06-30,48.3,$0.47,102.77
2020-03-31,35.16,$0.52,67.62
2019-12-31,46.6,$0.33,141.21
2019-09-30,37.85,$0.83,45.6
2019-06-30,40.24,$0.56,71.86
