Clorox PE Ratio Historical Data,Clorox PE Ratio Historical Data,Clorox PE Ratio Historical Data,Clorox PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,158.31,,70.67
2024-06-30,135.33,$2.24,60.41
2024-03-31,150.59,$1.93,78.03
2023-12-31,139.08,$0.63,220.76
2023-09-30,126.59,$0.68,186.15
2023-06-30,152.48,$1.19,128.14
2023-03-31,150.64,$0.58,259.72
2022-12-31,132.48,$3.50,37.85
2022-09-30,120.2,$3.26,36.87
2022-06-30,130.92,$3.72,35.19
2022-03-31,128.09,$3.69,34.71
2021-12-31,159.58,$1.99,80.19
2021-09-30,150.49,$3.46,43.49
2021-06-30,162.45,$5.54,29.32
2021-03-31,173.18,$7.17,24.15
2020-12-31,180.35,$9.55,18.89
2020-09-30,186.75,$8.98,20.8
2020-06-30,193.98,$7.35,26.39
2020-03-31,152.35,$6.82,22.34
2019-12-31,134.11,$6.37,21.05
2019-09-30,131.71,$6.31,20.87
2019-06-30,131.94,$6.34,20.81
2019-03-31,137.42,$6.12,22.45
2018-12-31,131.17,$6.05,21.68
2018-09-30,127.2,$6.42,19.81
2018-06-30,113.57,$6.26,18.14
2018-03-31,110.85,$6.12,18.11
2017-12-31,123.15,$6.06,20.32
2017-09-30,108.49,$5.43,19.98
2017-06-30,108.89,$5.33,20.43
2017-03-31,109.54,$5.07,21.61
2016-12-31,96.87,$4.99,19.41
2016-09-30,100.36,$4.98,20.15
2016-06-30,110.29,$5.08,21.71
2016-03-31,99.86,$5.12,19.5
2015-12-31,99.85,$4.84,20.63
2015-06-30,80.82,$4.39,18.41
2015-03-31,85.19,$4.22,20.19
2014-12-31,79.87,$4.23,18.88
2014-09-30,73.06,$4.32,16.91
2014-06-30,68.97,$4.51,15.29
2015-09-30,90.39,$4.25,21.27
2014-03-31,65.89,$4.31,15.29
2013-12-31,68.89,$4.27,16.13
2013-09-30,60.21,$4.33,13.91
2013-06-30,60.76,$4.31,14.1
2013-03-31,64.24,$4.26,15.08
2012-12-31,52.69,$4.27,12.34
2012-09-30,51.4,$4.13,12.45
2012-06-30,51.24,$4.10,12.5
2012-03-31,48.2,$4.04,11.93
2011-12-31,46.26,$4.12,11.23
2011-09-30,45.7,$3.48,13.13
2011-06-30,46.08,$4.02,11.46
2011-03-31,47.5,$3.96,11.99
2010-12-31,42.52,$4.03,10.55
2010-09-30,44.5,$4.65,9.57
2010-06-30,41.09,$4.24,9.69
2010-03-31,42.07,$4.24,9.92
2009-12-31,39.68,$4.16,9.54
