Vulcan Materials PE Ratio Historical Data,Vulcan Materials PE Ratio Historical Data,Vulcan Materials PE Ratio Historical Data,Vulcan Materials PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,245.21,,35.8
2024-06-30,248.22,$6.85,36.24
2024-03-31,271.93,$6.85,39.7
2023-12-31,225.79,$6.97,32.4
2023-09-30,200.53,$6.60,30.38
2023-06-30,223.35,$5.93,37.66
2022-12-31,172.7,$4.31,40.07
2022-09-30,155.18,$4.45,34.87
2022-06-30,139.51,$4.02,34.7
2022-03-31,179.91,$3.94,45.66
2021-12-31,202.85,$4.71,43.07
2023-03-31,169.59,$4.88,34.75
2021-09-30,165.0,$4.84,34.09
2021-06-30,169.46,$5.02,33.76
2021-03-31,163.95,$5.14,31.9
2020-12-31,143.77,$4.39,32.75
2020-09-30,131.08,$4.59,28.56
2020-06-30,111.74,$4.71,23.72
2020-03-31,103.89,$4.61,22.53
2019-12-31,138.04,$4.64,29.75
2019-09-30,144.67,$4.51,32.08
2019-06-30,131.06,$4.23,30.98
2019-03-31,112.73,$3.94,28.61
2018-12-31,93.81,$3.85,24.37
2018-09-30,105.3,$5.35,19.68
2018-06-30,121.91,$4.82,25.29
2018-03-31,107.61,$4.52,23.81
2017-12-31,120.72,$4.46,27.07
2017-09-30,112.24,$2.86,39.24
2017-06-30,118.62,$3.09,38.39
2017-03-31,112.59,$3.11,36.2
2016-12-31,116.71,$2.92,39.97
2016-09-30,105.9,$2.74,38.65
2016-06-30,111.88,$2.61,42.87
2016-03-31,97.97,$2.06,47.56
2015-12-31,87.95,$1.62,54.29
2015-09-30,82.53,$1.25,66.02
2015-06-30,77.57,$0.84,92.34
2015-03-31,77.83,$0.83,93.77
2014-12-31,60.61,$1.54,39.36
2014-09-30,55.49,$1.33,41.72
2014-06-30,58.68,$1.14,51.47
2014-03-31,61.11,$1.01,60.5
2013-12-31,54.6,$0.18,303.35
2013-09-30,47.6,$0.14,340.01
2013-06-30,44.47,$-0.31,0.0
2013-03-31,47.48,$-0.93,0.0
2012-12-31,47.79,$-0.73,0.0
2012-06-30,36.45,$-0.61,0.0
2012-03-31,39.21,$-0.53,0.0
2011-12-31,36.1,$-0.55,0.0
2011-09-30,25.27,$-0.70,0.0
2011-06-30,35.07,$-0.75,0.0
2011-03-31,41.24,$-0.88,0.0
2010-12-31,39.89,$-0.77,0.0
2010-09-30,32.99,$-0.51,0.0
2010-06-30,38.9,$-0.18,0.0
2010-03-31,41.72,$0.21,198.67
2009-12-31,46.26,$0.22,210.26
2009-09-30,47.25,$0.44,107.39
