Arvinas PE Ratio Historical Data,Arvinas PE Ratio Historical Data,Arvinas PE Ratio Historical Data,Arvinas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.04,,0.0
2024-06-30,26.62,$-5.17,0.0
2024-03-31,41.28,$-5.93,0.0
2023-12-31,41.16,$-6.50,0.0
2023-09-30,19.64,$-5.53,0.0
2023-06-30,24.82,$-5.59,0.0
2023-03-31,27.32,$-5.66,0.0
2022-12-31,34.21,$-5.32,0.0
2022-09-30,44.49,$-4.76,0.0
2022-06-30,42.09,$-4.46,0.0
2022-03-31,67.3,$-4.17,0.0
2021-12-31,82.14,$-3.81,0.0
2021-09-30,82.18,$-3.80,0.0
2021-06-30,77.0,$-3.65,0.0
2021-03-31,66.1,$-3.18,0.0
2020-12-31,84.93,$-2.90,0.0
2020-09-30,23.61,$-2.45,0.0
2020-03-31,40.3,$-2.21,0.0
2019-12-31,41.09,$-2.11,0.0
2019-09-30,21.55,$-2.07,0.0
2019-06-30,21.99,$-1.53,0.0
2019-03-31,14.76,$-1.63,0.0
