Century Communities PE Ratio Historical Data,Century Communities PE Ratio Historical Data,Century Communities PE Ratio Historical Data,Century Communities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,101.5,,10.55
2024-06-30,81.45,$9.62,8.47
2023-12-31,90.62,$8.05,11.26
2023-09-30,66.19,$7.69,8.61
2023-06-30,75.7,$7.11,10.65
2023-03-31,62.93,$9.95,6.32
2022-12-31,49.05,$13.69,3.58
2024-03-31,96.25,$15.42,6.24
2022-09-30,41.78,$18.20,2.3
2022-06-30,43.73,$17.07,2.56
2022-03-31,51.9,$15.76,3.29
2021-12-31,79.0,$14.56,5.43
2021-09-30,59.23,$12.50,4.74
2021-06-30,64.0,$10.67,6.0
2021-03-31,57.91,$8.35,6.94
2020-12-31,42.03,$6.13,6.86
2020-09-30,40.64,$5.04,8.06
2020-06-30,29.43,$4.43,6.64
2020-03-31,13.93,$3.79,3.68
2019-12-31,26.26,$3.57,7.35
2019-09-30,29.41,$2.79,10.54
2019-06-30,25.52,$2.48,10.29
2019-03-31,23.01,$3.07,7.5
2018-12-31,16.57,$3.18,5.21
2018-09-30,25.2,$2.93,8.6
2018-06-30,30.29,$2.74,11.05
2018-03-31,28.75,$2.30,12.5
2017-12-31,29.86,$2.03,14.71
2017-09-30,23.71,$2.14,11.08
2017-06-30,23.81,$2.40,9.92
2017-03-31,24.38,$2.36,10.33
2016-12-31,20.16,$2.34,8.62
2016-09-30,20.65,$2.25,9.18
2016-06-30,16.65,$2.12,7.85
2016-03-31,16.39,$1.96,8.36
2015-12-31,17.0,$1.88,9.04
2015-09-30,19.06,$1.60,11.91
2015-06-30,19.33,$1.29,14.98
2015-03-31,18.56,$1.13,16.42
