Leggett & Platt PE Ratio Historical Data,Leggett & Platt PE Ratio Historical Data,Leggett & Platt PE Ratio Historical Data,Leggett & Platt PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.46,,0.0
2024-06-30,11.42,$-5.95,0.0
2024-03-31,18.99,$-1.16,0.0
2023-12-31,25.32,$-1.00,0.0
2023-09-30,24.18,$1.57,15.4
2023-06-30,27.71,$1.70,16.3
2023-03-31,29.38,$2.00,14.69
2022-12-31,29.29,$2.27,12.9
2022-09-30,29.79,$2.65,11.24
2022-06-30,30.65,$2.84,10.79
2022-03-31,30.45,$2.96,10.29
2021-12-31,35.6,$2.94,12.11
2021-09-30,38.39,$2.93,13.1
2021-06-30,43.96,$2.99,14.7
2021-03-31,38.43,$2.12,18.13
2020-12-31,36.99,$1.82,20.32
2020-09-30,34.04,$1.70,20.02
2020-06-30,28.8,$1.67,17.25
2020-03-31,21.6,$2.36,9.15
2019-12-31,40.6,$2.47,16.44
2019-09-30,32.45,$2.22,14.62
2019-06-30,30.13,$2.15,14.01
2019-03-31,32.8,$2.14,15.33
2018-12-31,27.6,$2.26,12.21
2018-09-30,33.38,$2.14,15.6
2018-06-30,33.75,$2.07,16.3
2018-03-31,33.25,$2.08,15.99
2017-12-31,35.51,$2.13,16.67
2017-09-30,35.23,$2.45,14.38
2017-06-30,38.47,$2.52,15.27
2017-03-31,36.6,$2.75,13.31
2016-12-31,35.31,$2.76,12.79
2016-09-30,32.7,$2.74,11.94
2016-06-30,36.42,$2.74,13.29
2016-03-31,34.25,$2.41,14.21
2015-12-31,29.53,$2.28,12.95
2015-09-30,28.78,$1.85,15.56
2015-06-30,33.72,$1.52,22.18
2015-03-31,31.73,$0.81,39.17
2014-12-31,29.13,$0.68,42.83
2014-09-30,23.69,$0.58,40.85
2014-06-30,23.06,$0.73,31.58
2014-03-31,21.76,$1.38,15.77
2013-12-31,20.43,$1.34,15.25
2013-09-30,19.71,$1.80,10.95
2013-06-30,20.12,$1.76,11.43
2013-03-31,21.67,$1.73,12.52
2012-12-31,17.3,$1.70,10.18
2012-09-30,15.76,$1.26,12.5
2012-06-30,13.13,$1.12,11.73
2012-03-31,14.11,$1.04,13.56
2011-12-31,13.96,$1.04,13.42
2011-09-30,11.84,$1.19,9.95
2011-06-30,14.39,$1.19,12.09
2011-03-31,14.29,$1.16,12.32
2010-12-31,13.12,$1.15,11.41
2010-09-30,12.97,$1.17,11.08
2010-06-30,11.29,$1.20,9.41
2010-03-31,12.04,$0.98,12.28
2009-12-31,11.21,$0.75,14.95
