CVS Health PE Ratio Historical Data,CVS Health PE Ratio Historical Data,CVS Health PE Ratio Historical Data,CVS Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,57.24,,9.2
2024-06-30,58.39,$6.22,9.39
2023-12-31,76.64,$6.46,11.86
2023-09-30,67.19,$6.63,10.13
2023-06-30,65.99,$5.76,11.46
2023-03-31,70.36,$1.68,41.88
2022-12-31,87.63,$2.26,38.77
2024-03-31,78.12,$2.25,34.72
2022-09-30,89.14,$2.35,37.93
2022-06-30,86.1,$6.15,14.0
2022-03-31,93.55,$4.66,20.08
2021-12-31,94.84,$3.85,24.63
2021-09-30,77.57,$5.13,15.12
2020-12-31,61.24,$5.46,11.22
2020-09-30,51.93,$6.05,8.58
2020-06-30,57.32,$7.22,7.94
2020-03-31,51.91,$6.13,8.47
2019-12-31,64.57,$6.09,10.6
2021-06-30,75.82,$5.85,12.96
2019-09-30,54.4,$3.38,16.09
2019-06-30,46.58,$3.57,13.05
2019-03-31,45.67,$-0.44,0.0
2018-12-31,55.06,$-0.55,0.0
2018-09-30,65.7,$3.04,21.61
2018-06-30,53.3,$2.94,18.13
2018-03-31,51.13,$6.53,7.83
2017-12-31,59.22,$6.47,9.15
2017-09-30,66.0,$4.84,13.64
2017-06-30,64.88,$5.01,12.95
2017-03-31,62.89,$4.80,13.1
2016-12-31,62.84,$4.92,12.77
2016-09-30,70.52,$4.67,15.1
2016-06-30,75.54,$4.92,15.35
2016-03-31,81.5,$5.17,15.76
2015-12-31,76.47,$5.25,14.57
2021-03-31,67.91,$4.98,13.64
2015-09-30,75.21,$4.44,16.94
2015-06-30,81.5,$4.14,19.69
2015-03-31,79.93,$4.08,19.59
2014-12-31,74.32,$3.96,18.77
2014-09-30,61.21,$3.87,15.82
2014-06-30,57.76,$4.08,14.16
2014-03-31,57.16,$3.93,14.54
2013-12-31,54.42,$3.75,14.51
2013-09-30,42.99,$3.60,11.94
2013-06-30,43.16,$3.37,12.81
2013-03-31,41.35,$3.21,12.88
2012-12-31,36.2,$3.03,11.95
2012-09-30,36.12,$2.94,12.29
2012-06-30,34.74,$2.80,12.41
2012-03-31,33.18,$2.65,12.52
2011-12-31,30.09,$2.58,11.66
2011-09-30,24.69,$2.52,9.8
2011-06-30,27.54,$2.46,11.19
2011-03-31,25.06,$2.46,10.19
2010-12-31,25.3,$2.49,10.16
2010-09-30,22.83,$2.48,9.21
2010-06-30,21.21,$2.60,8.16
2010-03-31,26.38,$2.60,10.15
2009-12-31,23.19,$2.55,9.09
