Macro Bank PE Ratio Historical Data,Macro Bank PE Ratio Historical Data,Macro Bank PE Ratio Historical Data,Macro Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,71.2,,6.96
2024-06-30,53.8,$10.23,5.26
2024-03-31,43.96,$16.93,2.6
2023-12-31,25.6,$12.95,1.98
2023-09-30,17.6,$5.53,3.18
2023-06-30,21.48,$6.14,3.5
2023-03-31,14.5,$3.97,3.65
2022-12-31,13.37,$3.81,3.51
2022-09-30,11.55,$3.94,2.93
2022-06-30,8.89,$4.16,2.14
2022-03-31,13.11,$4.00,3.28
2021-12-31,10.63,$3.49,3.04
2021-09-30,12.88,$3.19,4.04
2021-06-30,11.39,$3.45,3.3
2021-03-31,10.12,$6.67,1.52
2020-09-30,10.84,$8.89,1.22
2020-06-30,14.06,$9.61,1.46
2019-09-30,19.72,$10.83,1.82
2019-06-30,55.22,$9.65,5.72
2018-06-30,42.55,$9.30,4.57
2018-03-31,76.09,$9.33,8.15
2017-12-31,81.66,$8.34,9.79
2017-09-30,82.7,$7.82,10.57
2017-06-30,64.97,$7.41,8.77
2017-03-31,60.6,$7.53,8.05
2016-12-31,44.98,$7.56,5.95
2016-09-30,54.7,$9.05,6.04
2016-06-30,51.37,$9.23,5.57
2016-03-31,44.62,$8.61,5.18
2015-12-31,40.07,$9.09,4.41
2015-09-30,26.48,$6.85,3.87
2015-06-30,31.44,$6.83,4.6
2015-03-31,39.44,$6.82,5.78
2014-12-31,30.15,$7.19,4.19
2014-09-30,27.31,$8.16,3.35
2014-06-30,24.84,$7.86,3.16
2014-03-31,18.75,$7.79,2.41
2013-12-31,16.17,$6.79,2.38
2013-09-30,15.99,$6.17,2.59
2013-06-30,9.56,$5.96,1.6
2013-03-31,9.81,$5.73,1.71
2012-12-31,12.09,$5.46,2.21
2012-09-30,9.45,$5.35,1.77
2012-06-30,8.63,$5.01,1.72
2012-03-31,13.06,$4.76,2.74
2011-12-31,12.99,$4.60,2.82
2011-09-30,13.33,$4.38,3.04
2011-06-30,25.14,$4.38,5.74
2011-03-31,25.18,$4.33,5.82
2010-12-31,31.58,$4.29,7.36
2010-09-30,28.02,$4.20,6.67
2010-06-30,18.52,$3.90,4.75
2010-03-31,18.24,$3.68,4.96
2009-12-31,18.16,$3.31,5.49
