Genesis Energy PE Ratio Historical Data,Genesis Energy PE Ratio Historical Data,Genesis Energy PE Ratio Historical Data,Genesis Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.23,,0.0
2024-06-30,14.16,$-0.13,0.0
2024-03-31,10.87,$0.34,31.96
2023-12-31,11.18,$0.22,50.8
2023-09-30,9.83,$0.45,21.84
2023-06-30,8.95,$0.04,223.84
2023-03-31,10.41,$-0.04,0.0
2022-12-31,9.32,$-0.03,0.0
2022-09-30,8.29,$-0.89,0.0
2022-06-30,7.12,$-1.09,0.0
2022-03-31,10.26,$-1.72,0.0
2021-12-31,9.25,$-1.95,0.0
2021-09-30,8.5,$-2.09,0.0
2021-06-30,9.76,$-2.16,0.0
2021-03-31,7.73,$-4.49,0.0
2020-12-31,5.02,$-4.01,0.0
2020-09-30,3.51,$-3.13,0.0
2020-06-30,5.52,$-2.75,0.0
2020-03-31,2.92,$0.24,12.18
2019-12-31,14.83,$0.17,87.23
2019-09-30,15.14,$-0.21,0.0
2019-06-30,15.08,$-0.35,0.0
2019-03-31,15.65,$-0.57,0.0
2018-12-31,12.09,$-0.56,0.0
2018-09-30,15.19,$-0.20,0.0
2018-06-30,13.68,$0.23,59.46
2017-12-31,13.32,$0.51,26.11
2017-09-30,15.37,$0.71,21.65
2017-06-30,18.08,$0.63,28.69
2017-03-31,18.06,$0.63,28.67
2016-12-31,19.69,$0.62,31.75
2018-03-31,12.01,$0.75,16.01
2016-09-30,20.36,$1.06,19.2
2016-06-30,20.18,$4.16,4.85
2016-03-31,16.39,$4.15,3.95
2015-12-31,18.5,$4.11,4.5
2015-09-30,19.01,$4.20,4.53
2015-03-31,22.7,$1.06,21.41
2014-12-31,20.21,$1.19,16.98
2014-09-30,24.77,$1.11,22.32
2014-06-30,26.1,$0.90,29.0
2014-03-31,25.0,$0.88,28.4
2013-12-31,24.01,$0.87,27.59
2015-06-30,21.46,$0.95,22.59
2013-09-30,22.63,$1.17,19.34
2013-06-30,23.19,$1.34,17.31
2013-03-31,21.35,$1.24,17.22
2012-12-31,15.62,$1.23,12.7
2012-09-30,14.5,$0.99,14.64
2012-06-30,12.34,$0.87,14.19
2012-03-31,12.86,$0.91,14.14
2011-12-31,11.55,$0.75,15.4
2011-09-30,9.81,$0.67,14.64
2011-06-30,10.86,$0.52,20.89
2011-03-31,11.12,$0.54,20.59
2010-12-31,10.22,$0.49,20.86
2010-09-30,8.97,$0.55,16.31
2010-06-30,7.17,$0.57,12.59
2010-03-31,7.17,$0.41,17.48
2009-12-31,6.82,$0.51,13.38
