Lattice Semiconductor PE Ratio Historical Data,Lattice Semiconductor PE Ratio Historical Data,Lattice Semiconductor PE Ratio Historical Data,Lattice Semiconductor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,50.72,,31.5
2024-06-30,57.99,$1.61,36.02
2023-12-31,68.99,$1.85,37.29
2023-09-30,85.93,$1.51,56.91
2023-06-30,96.07,$1.46,65.8
2023-03-31,95.5,$1.42,67.25
2022-12-31,64.88,$1.28,50.69
2022-09-30,49.21,$1.11,44.33
2022-06-30,48.5,$0.97,50.0
2022-03-31,60.95,$0.80,76.19
2021-12-31,77.06,$0.67,115.01
2021-09-30,64.65,$0.58,111.47
2021-06-30,56.18,$0.48,117.04
2021-03-31,45.02,$0.41,109.8
2020-12-31,45.82,$0.34,134.76
2020-09-30,28.96,$0.33,87.76
2020-06-30,28.39,$0.34,83.5
2020-03-31,17.82,$0.32,55.69
2019-12-31,19.14,$0.31,61.74
2019-09-30,18.29,$0.16,114.28
2019-06-30,14.59,$0.11,132.64
2019-03-31,11.93,$-0.11,0.0
2018-12-31,6.92,$-0.21,0.0
2018-09-30,8.0,$-0.05,0.0
2018-06-30,6.56,$-0.16,0.0
2018-03-31,5.57,$-0.35,0.0
2024-03-31,78.23,$-0.41,0.0
2017-12-31,5.78,$-0.58,0.0
2017-09-30,5.21,$-0.59,0.0
2017-06-30,6.66,$-0.34,0.0
2017-03-31,6.92,$-0.35,0.0
2016-12-31,7.36,$-0.46,0.0
2016-09-30,6.49,$-0.77,0.0
2016-06-30,5.35,$-0.88,0.0
2016-03-31,5.68,$-1.06,0.0
2015-12-31,6.47,$-1.35,0.0
2015-09-30,3.85,$-0.84,0.0
2015-06-30,5.89,$-0.55,0.0
2015-03-31,6.34,$-0.15,0.0
2014-12-31,6.89,$0.41,16.8
2014-09-30,7.5,$0.34,22.06
2014-06-30,8.25,$0.33,25.0
2014-03-31,7.84,$0.27,29.04
2013-12-31,5.49,$0.19,28.89
2013-09-30,4.46,$0.07,63.71
2013-06-30,5.07,$-0.02,0.0
2013-03-31,5.46,$-0.17,0.0
2012-12-31,3.99,$-0.26,0.0
2012-09-30,3.84,$0.14,27.43
2012-06-30,3.75,$0.27,13.89
2012-03-31,6.43,$0.49,13.12
2011-12-31,5.94,$0.65,9.14
2011-09-30,5.25,$0.42,12.5
2011-06-30,6.52,$0.44,14.82
2011-03-31,5.9,$0.47,12.55
2010-12-31,6.06,$0.48,12.63
2010-09-30,4.75,$0.42,11.31
2010-06-30,4.34,$0.25,17.36
2010-03-31,3.67,$0.09,40.78
2009-12-31,2.7,$-0.06,0.0
