Arcos Dorados Holdings PE Ratio Historical Data,Arcos Dorados Holdings PE Ratio Historical Data,Arcos Dorados Holdings PE Ratio Historical Data,Arcos Dorados Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.53,,11.77
2024-06-30,8.94,$0.81,11.03
2024-03-31,10.97,$0.81,13.54
2023-12-31,12.45,$0.85,14.65
2023-09-30,9.25,$0.85,10.88
2023-06-30,9.97,$0.79,12.62
2023-03-31,7.46,$0.73,10.22
2022-12-31,8.04,$0.67,11.99
2022-09-30,6.98,$0.63,11.08
2022-06-30,6.42,$0.53,12.11
2022-03-31,7.7,$0.48,16.03
2021-12-31,5.49,$0.22,24.74
2021-09-30,4.82,$0.11,43.65
2021-06-30,5.55,$-0.15,0.0
2021-03-31,4.73,$-0.60,0.0
2020-12-31,4.67,$-0.72,0.0
2020-09-30,3.79,$-0.67,0.0
2020-06-30,3.8,$-0.41,0.0
2020-03-31,2.98,$0.07,43.76
2019-12-31,7.23,$0.38,19.04
2019-09-30,5.97,$0.26,22.73
2019-06-30,6.44,$0.26,24.53
2019-03-31,6.3,$0.22,28.16
2018-12-31,6.94,$0.17,41.98
2018-09-30,5.45,$0.45,12.18
2018-06-30,6.06,$0.44,13.85
2018-03-31,7.98,$0.41,19.53
2017-12-31,8.98,$0.59,15.13
2017-09-30,8.72,$0.37,23.58
2017-06-30,6.46,$0.25,25.54
2017-03-31,6.98,$0.48,14.64
2016-12-31,4.68,$0.37,12.67
2016-09-30,4.57,$0.30,15.16
2016-06-30,4.14,$0.15,28.36
2016-03-31,3.25,$-0.03,0.0
2015-12-31,2.7,$-0.23,0.0
2015-09-30,2.36,$-0.21,0.0
2015-06-30,4.56,$-0.05,0.0
2015-03-31,4.28,$-0.54,0.0
2014-12-31,4.69,$-0.51,0.0
2014-09-30,5.13,$-0.41,0.0
2014-06-30,9.51,$-0.32,0.0
2014-03-31,8.51,$0.18,48.63
2013-12-31,10.18,$0.24,41.84
2013-09-30,9.9,$0.30,32.83
2013-06-30,9.71,$0.37,26.26
2013-03-31,10.92,$0.39,28.05
2012-12-31,9.85,$0.54,18.4
2012-09-30,12.59,$0.55,23.1
2012-06-30,12.01,$0.48,25.18
2012-03-31,14.65,$0.49,30.1
