Preferred Bank PE Ratio Historical Data,Preferred Bank PE Ratio Historical Data,Preferred Bank PE Ratio Historical Data,Preferred Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,85.08,,8.32
2024-06-30,74.12,$10.23,7.25
2024-03-31,74.68,$10.36,7.21
2023-12-31,70.37,$10.53,6.68
2023-09-30,59.45,$10.64,5.59
2023-06-30,52.0,$10.33,5.03
2023-03-31,51.29,$9.59,5.35
2022-12-31,69.29,$8.72,7.95
2022-09-30,60.18,$7.81,7.71
2022-06-30,62.37,$7.17,8.7
2022-03-31,67.53,$6.74,10.02
2021-12-31,65.07,$6.42,10.14
2021-09-30,60.11,$6.02,9.98
2021-06-30,56.68,$5.41,10.48
2021-03-31,56.72,$5.00,11.34
2020-12-31,44.7,$4.66,9.59
2020-09-30,28.19,$4.57,6.17
2020-06-30,37.33,$4.74,7.88
2020-03-31,29.19,$5.02,5.82
2019-12-31,51.61,$5.17,9.98
2019-09-30,44.73,$5.08,8.81
2019-06-30,40.1,$4.96,8.08
2019-03-31,37.93,$4.79,7.92
2018-12-31,36.32,$4.65,7.81
2018-09-30,48.8,$3.95,12.36
2018-06-30,51.09,$3.69,13.85
2018-03-31,53.18,$3.35,15.87
2017-12-31,48.51,$2.97,16.33
2017-09-30,49.64,$3.16,15.71
2017-06-30,43.82,$2.91,15.06
2017-03-31,43.82,$2.72,16.11
2016-12-31,42.66,$2.57,16.6
2016-09-30,28.97,$2.40,12.07
2016-06-30,23.28,$2.28,10.21
2016-03-31,24.27,$2.22,10.93
2015-12-31,26.37,$2.14,12.32
2015-09-30,25.14,$2.10,11.97
2015-06-30,23.81,$1.99,11.96
2015-03-31,21.67,$1.87,11.59
2014-12-31,21.92,$1.77,12.39
2014-09-30,17.63,$1.71,10.31
2014-06-30,18.5,$1.62,11.42
2014-03-31,20.32,$1.51,13.46
2013-12-31,15.69,$1.43,10.97
2013-09-30,13.92,$1.39,10.02
2013-06-30,12.9,$1.23,10.49
2013-03-31,12.35,$0.48,25.73
2012-12-31,11.11,$1.87,5.94
2012-09-30,11.1,$1.76,6.31
2012-06-30,10.46,$2.05,5.1
2012-03-31,9.22,$2.61,3.53
2011-12-31,5.83,$0.97,6.01
2011-09-30,6.21,$-0.12,0.0
2011-06-30,5.64,$-4.52,0.0
2011-03-31,5.75,$-5.65,0.0
2010-12-31,6.89,$-4.70,0.0
2010-09-30,6.3,$-12.90,0.0
2010-06-30,8.18,$-15.55,0.0
2010-03-31,5.32,$-17.50,0.0
2009-12-31,7.04,$-19.15,0.0
