WillScot Holdings PE Ratio Historical Data,WillScot Holdings PE Ratio Historical Data,WillScot Holdings PE Ratio Historical Data,WillScot Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.69,,39.03
2024-06-30,37.64,$0.94,40.04
2024-03-31,46.5,$1.62,28.7
2023-12-31,44.5,$2.33,19.1
2023-09-30,41.59,$2.29,18.16
2023-06-30,47.79,$2.42,19.75
2023-03-31,46.88,$2.31,20.29
2022-12-31,45.17,$1.53,29.52
2022-09-30,40.33,$1.45,27.81
2022-06-30,32.42,$1.12,28.95
2022-03-31,39.13,$0.88,44.47
2021-12-31,40.84,$0.68,60.06
2021-09-30,31.72,$0.61,52.0
2021-06-30,27.87,$0.42,66.36
2021-03-31,27.75,$0.44,63.07
2020-12-31,23.17,$0.39,59.41
2020-09-30,16.68,$0.23,72.52
2020-06-30,12.29,$0.16,76.81
2020-03-31,10.13,$-0.04,0.0
2019-12-31,18.49,$-0.10,0.0
2019-09-30,15.58,$-0.32,0.0
2019-06-30,15.04,$-0.69,0.0
2019-03-31,11.09,$-0.59,0.0
2018-12-31,9.42,$-0.58,0.0
2018-09-30,17.15,$-3.95,0.0
2018-06-30,14.8,$-3.58,0.0
2018-03-31,13.65,$-3.58,0.0
2017-12-31,12.7,$-3.50,0.0
2017-09-30,10.1,0,0.0
2017-06-30,10.0,0,0.0
