Procore Technologies PE Ratio Historical Data,Procore Technologies PE Ratio Historical Data,Procore Technologies PE Ratio Historical Data,Procore Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,63.05,,0.0
2024-06-30,66.31,$-0.63,0.0
2024-03-31,82.17,$-0.96,0.0
2023-12-31,69.22,$-1.33,0.0
2023-09-30,65.32,$-1.64,0.0
2023-06-30,65.07,$-1.85,0.0
2023-03-31,62.63,$-2.02,0.0
2022-12-31,47.18,$-2.10,0.0
2022-09-30,49.48,$-1.97,0.0
2022-06-30,45.39,$-2.03,0.0
2022-03-31,57.96,$-3.53,0.0
