Veeva Systems PE Ratio Historical Data,Veeva Systems PE Ratio Historical Data,Veeva Systems PE Ratio Historical Data,Veeva Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,217.02,,57.87
2024-07-31,191.93,$3.75,51.18
2024-04-30,198.56,$3.39,58.57
2024-01-31,207.41,$3.22,64.41
2023-10-31,192.71,$3.48,55.38
2023-07-31,204.22,$3.32,61.51
2023-04-30,179.08,$3.20,55.96
2023-01-31,170.55,$3.01,56.66
2022-10-31,167.94,$2.45,68.55
2022-07-31,223.58,$2.43,92.01
2022-04-30,181.95,$2.54,71.63
2022-01-31,236.54,$2.63,89.94
2021-10-31,317.01,$2.67,118.73
2021-07-31,332.71,$2.62,126.99
2021-04-30,282.45,$2.53,111.64
2021-01-31,276.44,$2.36,117.14
2020-10-31,270.05,$2.14,126.19
2020-07-31,264.57,$2.06,128.43
2020-04-30,190.8,$1.98,96.36
2020-01-31,146.61,$1.91,76.76
2019-10-31,141.83,$1.94,73.11
2019-07-31,165.9,$1.83,90.66
2019-04-30,139.87,$1.65,84.77
2019-01-31,109.06,$1.47,74.19
2018-10-31,91.35,$1.24,73.67
2018-07-31,75.63,$1.05,72.03
2018-04-30,70.13,$0.98,71.56
2018-01-31,62.86,$0.84,74.83
2017-10-31,60.94,$0.77,79.14
2017-07-31,63.76,$0.64,99.63
2017-01-31,42.33,$0.48,88.19
2016-10-31,38.85,$0.45,86.33
2016-07-31,37.99,$0.37,102.68
2016-04-30,27.51,$0.37,74.35
2016-01-31,24.1,$0.37,65.14
2015-10-31,25.37,$0.32,79.28
2015-04-30,26.55,$0.32,82.97
2015-01-31,28.76,$0.28,102.71
2014-10-31,29.78,$0.23,129.48
2014-07-31,23.8,$0.21,113.33
2014-04-30,19.21,$0.38,50.55
2014-01-31,31.79,$0.42,75.69
