Infinera PE Ratio Historical Data,Infinera PE Ratio Historical Data,Infinera PE Ratio Historical Data,Infinera PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.72,,0.0
2024-06-30,6.09,$-0.46,0.0
2024-03-31,6.03,$-0.34,0.0
2023-12-31,4.75,$-0.11,0.0
2023-09-30,4.18,$-0.03,0.0
2023-06-30,4.83,$-0.04,0.0
2023-03-31,7.76,$-0.21,0.0
2022-12-31,6.74,$-0.37,0.0
2022-09-30,4.84,$-0.67,0.0
2022-06-30,5.36,$-0.88,0.0
2022-03-31,8.67,$-0.79,0.0
2021-12-31,9.59,$-0.83,0.0
2021-09-30,8.32,$-0.72,0.0
2021-06-30,10.2,$-0.65,0.0
2021-03-31,9.63,$-0.81,0.0
2020-12-31,10.48,$-1.12,0.0
2020-09-30,6.16,$-1.44,0.0
2020-06-30,5.92,$-1.72,0.0
2020-03-31,5.3,$-2.03,0.0
2019-12-31,7.94,$-2.17,0.0
2019-09-30,5.45,$-2.55,0.0
2019-06-30,2.91,$-2.29,0.0
2019-03-31,4.34,$-1.79,0.0
2018-12-31,3.99,$-1.27,0.0
2018-09-30,7.3,$-1.02,0.0
2018-06-30,9.93,$-1.06,0.0
2018-03-31,10.86,$-1.21,0.0
2017-12-31,6.33,$-1.32,0.0
2017-09-30,8.87,$-1.07,0.0
2017-06-30,10.67,$-0.90,0.0
2017-03-31,10.23,$-0.53,0.0
2016-12-31,8.49,$-0.17,0.0
2016-09-30,9.03,$0.16,56.44
2016-06-30,11.28,$0.30,37.6
2016-03-31,16.06,$0.35,45.89
2015-12-31,18.12,$0.36,50.33
2015-09-30,19.55,$0.34,57.5
2015-06-30,20.98,$0.32,65.56
2015-03-31,19.67,$0.23,85.52
2014-12-31,14.72,$0.10,147.2
2014-09-30,10.67,$-0.04,0.0
2014-06-30,9.2,$-0.05,0.0
2014-03-31,9.08,$-0.18,0.0
2013-12-31,9.78,$-0.27,0.0
2013-09-30,11.32,$-0.33,0.0
2013-06-30,10.67,$-0.53,0.0
2013-03-31,7.0,$-0.71,0.0
2012-12-31,5.81,$-0.77,0.0
2012-09-30,5.48,$-0.81,0.0
2012-06-30,6.84,$-0.85,0.0
2012-03-31,8.12,$-0.81,0.0
2011-12-31,6.28,$-0.78,0.0
2011-09-30,7.72,$-0.63,0.0
2011-06-30,6.91,$-0.38,0.0
2011-03-31,8.39,$-0.25,0.0
2010-12-31,10.33,$-0.30,0.0
2010-09-30,11.67,$-0.46,0.0
2010-06-30,6.43,$-0.67,0.0
2010-03-31,8.52,$-0.85,0.0
2009-12-31,8.87,$-0.90,0.0
