Southern PE Ratio Historical Data,Southern PE Ratio Historical Data,Southern PE Ratio Historical Data,Southern PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,86.4,,20.57
2024-06-30,76.93,$4.20,18.32
2024-03-31,70.51,$3.87,18.22
2023-12-31,68.2,$3.63,18.79
2023-09-30,62.32,$2.77,22.5
2023-06-30,66.96,$2.83,23.66
2023-03-31,65.69,$3.10,21.19
2022-12-31,66.74,$3.28,20.35
2022-09-30,62.9,$3.16,19.91
2022-06-30,65.39,$2.84,23.03
2022-03-31,65.89,$2.16,30.5
2021-12-31,61.68,$2.26,27.29
2021-09-30,55.14,$2.83,19.49
2021-06-30,53.31,$2.97,17.95
2021-03-31,54.21,$3.20,16.94
2020-12-31,53.01,$2.95,17.97
2020-09-30,46.32,$3.00,15.44
2020-06-30,43.78,$3.08,14.21
2020-03-31,45.16,$3.36,13.44
2019-12-31,52.66,$4.55,11.57
2019-09-30,50.56,$4.40,11.49
2019-06-30,44.77,$4.28,10.46
2019-03-31,41.37,$3.27,12.65
2018-12-31,34.73,$2.19,15.86
2018-09-30,34.04,$2.41,14.13
2018-06-30,35.7,$2.34,15.26
2018-03-31,33.95,$1.12,30.32
2017-12-31,36.09,$0.85,42.45
2017-09-30,36.46,$0.56,65.11
2017-06-30,35.1,$0.67,52.39
2017-03-31,36.07,$2.72,13.26
2016-12-31,35.24,$2.59,13.6
2016-09-30,36.32,$2.69,13.5
2016-06-30,37.57,$2.56,14.67
2016-03-31,35.84,$2.57,13.94
2015-12-31,32.05,$2.60,12.33
2015-09-30,30.25,$2.63,11.5
2015-06-30,28.02,$2.38,11.77
2015-03-31,29.25,$2.37,12.34
2014-12-31,32.07,$2.20,14.58
2014-09-30,28.19,$2.34,12.05
2014-06-30,28.96,$2.51,11.54
2014-03-31,27.72,$2.17,12.77
2013-12-31,25.61,$1.87,13.7
2013-09-30,25.34,$1.84,13.77
2013-06-30,26.85,$1.98,13.56
2013-03-31,28.24,$2.35,12.02
2012-12-31,25.49,$2.68,9.51
2012-09-30,27.15,$2.54,10.69
2012-06-30,26.99,$2.50,10.8
2012-03-31,25.91,$2.50,10.37
2011-12-31,26.42,$2.58,10.24
2011-09-30,23.92,$2.46,9.72
2011-06-30,22.53,$2.37,9.51
2011-03-31,21.01,$2.28,9.21
2010-12-31,20.82,$2.38,8.75
2010-09-30,20.04,$2.51,7.98
2010-06-30,17.68,$2.52,7.02
2010-03-31,17.39,$2.51,6.93
2009-12-31,17.24,$2.07,8.33
