Manhattan Associates PE Ratio Historical Data,Manhattan Associates PE Ratio Historical Data,Manhattan Associates PE Ratio Historical Data,Manhattan Associates PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,304.54,,92.85
2024-06-30,246.68,$3.28,75.21
2024-03-31,250.23,$3.06,81.77
2023-12-31,215.32,$2.82,76.35
2023-09-30,197.66,$2.64,74.87
2023-06-30,199.88,$2.32,86.16
2023-03-31,154.85,$2.18,71.03
2022-12-31,121.4,$2.04,59.51
2022-09-30,133.03,$1.76,75.59
2022-06-30,114.6,$1.86,61.61
2022-03-31,138.71,$1.85,74.98
2021-12-31,155.49,$1.72,90.4
2021-09-30,153.03,$1.72,88.97
2021-06-30,144.84,$1.54,94.05
2021-03-31,117.38,$1.36,86.31
2020-12-31,105.18,$1.36,77.34
2020-09-30,95.49,$1.30,73.45
2020-06-30,94.2,$1.33,70.83
2020-03-31,49.82,$1.35,36.9
2019-12-31,79.75,$1.32,60.42
2019-09-30,80.67,$1.46,55.25
2019-06-30,69.33,$1.47,47.16
2019-03-31,55.11,$1.57,35.1
2018-12-31,42.37,$1.58,26.82
2018-09-30,54.6,$1.54,35.45
2018-06-30,47.01,$1.58,29.75
2018-03-31,41.88,$1.61,26.01
2017-12-31,49.54,$1.68,29.49
2017-09-30,41.57,$1.74,23.89
2017-06-30,48.06,$1.74,27.62
2017-03-31,52.05,$1.75,29.74
2016-12-31,53.03,$1.73,30.65
2016-09-30,57.62,$1.67,34.5
2016-06-30,64.13,$1.58,40.59
2016-03-31,56.87,$1.47,38.69
2015-12-31,66.17,$1.40,47.26
2015-09-30,62.36,$1.31,47.6
2015-06-30,59.65,$1.17,50.98
2015-03-31,50.61,$1.04,48.66
2014-12-31,40.72,$0.99,41.34
2014-03-31,35.03,$0.94,37.37
2013-12-31,29.37,$0.87,33.86
2013-09-30,23.86,$0.81,29.64
2013-06-30,19.29,$0.85,22.69
2013-03-31,18.57,$0.80,23.22
2012-12-31,15.09,$0.81,18.74
2014-09-30,33.42,$0.79,42.57
2012-09-30,14.32,$0.61,23.47
2012-06-30,11.43,$0.61,18.66
2012-03-31,11.88,$0.58,20.49
2011-12-31,10.12,$0.53,19.28
2011-09-30,8.27,$0.47,17.5
2011-06-30,8.61,$0.37,23.43
2011-03-31,8.19,$0.32,25.98
2010-12-31,7.64,$0.31,24.43
2010-09-30,7.34,$0.51,14.39
2010-06-30,6.89,$0.51,13.64
2010-03-31,6.37,$0.54,11.8
2014-06-30,34.43,$0.46,75.67
2009-12-31,6.01,$0.19,32.05
