Veren PE Ratio Historical Data,Veren PE Ratio Historical Data,Veren PE Ratio Historical Data,Veren PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.11,,0.0
2024-06-30,7.73,$-0.06,0.0
2024-03-31,7.95,$-0.08,0.0
2023-12-31,6.65,$0.70,9.51
2023-09-30,7.87,$-1.21,0.0
2023-06-30,6.3,$0.55,11.46
2023-03-31,6.54,$0.71,9.21
2022-12-31,6.53,$2.02,3.23
2022-09-30,5.56,$2.84,1.96
2022-06-30,6.37,$2.31,2.76
2022-03-31,6.45,$4.83,1.34
2021-12-31,4.73,$3.26,1.45
2021-09-30,4.06,$3.02,1.34
2021-06-30,3.99,$2.92,1.37
2021-03-31,3.67,$-0.24,0.0
2020-12-31,2.06,$-3.39,0.0
2020-09-30,1.07,$-4.62,0.0
2020-06-30,1.43,$-5.04,0.0
2020-03-31,0.67,$-4.58,0.0
2019-12-31,3.89,$-1.46,0.0
2019-09-30,3.7,$-3.44,0.0
2019-06-30,2.86,$-2.98,0.0
2019-03-31,2.8,$-3.48,0.0
2018-12-31,2.6,$-3.61,0.0
2018-09-30,5.41,$-0.40,0.0
2018-06-30,6.2,$-0.84,0.0
2018-03-31,5.68,$-0.50,0.0
2017-12-31,6.31,$-0.20,0.0
2017-09-30,6.6,$-0.82,0.0
2017-06-30,6.21,$-0.58,0.0
2017-03-31,8.72,$-1.04,0.0
2016-12-31,10.89,$-1.33,0.0
2016-09-30,10.52,$-1.20,0.0
2016-06-30,12.52,$-1.35,0.0
2016-03-31,10.93,$-1.43,0.0
2015-12-31,9.06,$-1.39,0.0
2015-09-30,8.74,$-0.61,0.0
2015-06-30,15.27,$0.23,66.39
2015-03-31,16.26,$0.73,22.27
2014-12-31,16.47,$0.78,21.12
2014-09-30,25.14,$0.78,32.24
2014-03-31,24.65,$0.43,57.32
2013-12-31,25.76,$0.36,71.56
2013-09-30,24.73,$0.13,190.25
2013-06-30,21.79,$-0.07,0.0
2013-03-31,23.72,$0.64,37.07
2012-12-31,23.3,$0.63,36.98
2012-09-30,26.75,$0.59,45.33
2012-06-30,22.14,$0.80,27.68
