TeraWulf PE Ratio Historical Data,TeraWulf PE Ratio Historical Data,TeraWulf PE Ratio Historical Data,TeraWulf PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.07,,0.0
2024-06-30,4.45,$-0.15,0.0
2024-03-31,2.63,$-0.20,0.0
2023-12-31,2.4,$-0.33,0.0
2023-09-30,1.26,$-0.33,0.0
2023-06-30,1.75,$-0.56,0.0
2023-03-31,0.94,$-0.62,0.0
2022-12-31,0.67,$-0.46,0.0
2022-09-30,1.26,$-0.46,0.0
2022-06-30,1.2,$-0.57,0.0
2022-03-31,8.4,$-0.80,0.0
2021-12-31,15.05,$-0.96,0.0
2021-09-30,28.4,$-0.22,0.0
2021-06-30,19.31,$0.07,275.86
2021-03-31,9.8,$-0.09,0.0
2020-12-31,9.97,$-0.23,0.0
2020-09-30,3.57,$-1.01,0.0
2020-06-30,3.45,$-0.95,0.0
2020-03-31,3.28,$-0.48,0.0
2019-12-31,5.35,$-0.41,0.0
2019-09-30,6.34,$-0.29,0.0
2019-06-30,7.31,$-0.22,0.0
2019-03-31,8.22,$-0.09,0.0
2018-12-31,8.43,$0.07,120.46
2018-09-30,12.5,$0.18,69.44
2018-06-30,10.7,$0.13,82.27
2018-03-31,8.8,$0.01,0.0
2017-12-31,7.52,$-0.11,0.0
2017-09-30,8.24,$-0.30,0.0
2017-06-30,8.98,$-0.20,0.0
2017-03-31,10.04,$-0.13,0.0
2016-12-31,11.25,$-0.04,0.0
2016-09-30,10.75,$0.07,153.57
2016-06-30,11.24,$0.09,124.94
2016-03-31,11.8,$0.08,147.5
2015-12-31,11.19,$0.07,159.86
2015-09-30,12.0,$0.01,1200.0
2015-06-30,15.05,$0.02,752.5
2015-03-31,16.0,$0.11,145.45
2014-12-31,14.56,$0.32,45.5
2014-09-30,18.15,$0.45,40.33
2014-06-30,25.17,$0.44,57.2
2014-03-31,25.0,$0.49,51.02
2013-12-31,14.75,$0.35,42.14
2013-09-30,18.74,$0.31,60.45
2013-06-30,16.25,$0.36,45.14
2013-03-31,12.35,$0.33,37.42
2012-12-31,8.05,$0.34,23.68
2012-09-30,7.2,$0.27,26.67
2012-06-30,6.86,$0.27,25.4
2012-03-31,8.19,$0.31,26.42
2011-12-31,6.81,$0.36,18.93
2011-09-30,7.48,$0.46,16.26
2011-06-30,6.71,$0.50,13.43
2011-03-31,7.66,$0.51,15.02
2010-12-31,6.53,$0.57,11.45
2010-09-30,6.32,$0.50,12.64
2010-06-30,6.13,$-0.01,0.0
2010-03-31,6.06,$-0.11,0.0
2009-12-31,5.67,$-0.16,0.0
