Andersons PE Ratio Historical Data,Andersons PE Ratio Historical Data,Andersons PE Ratio Historical Data,Andersons PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,49.32,,16.55
2024-06-30,49.22,$2.98,16.52
2024-03-31,56.93,$3.54,16.08
2023-12-31,56.91,$2.94,19.36
2023-09-30,50.78,$1.71,29.69
2023-06-30,45.33,$2.49,18.21
2023-03-31,40.43,$3.20,12.63
2022-12-31,34.08,$3.80,8.97
2022-09-30,30.06,$4.40,6.83
2022-06-30,31.78,$3.80,8.36
2022-03-31,48.15,$2.78,17.32
2021-12-31,36.95,$3.07,12.04
2021-09-30,29.29,$2.69,10.89
2021-06-30,28.68,$2.20,13.04
2021-03-31,25.72,$1.82,14.13
2020-12-31,22.88,$0.22,103.99
2020-09-30,17.77,$-0.07,0.0
2020-06-30,12.48,$-0.17,0.0
2020-03-31,17.0,$-0.18,0.0
2019-12-31,22.71,$0.54,42.05
2019-09-30,20.01,$1.19,16.81
2019-06-30,24.12,$1.25,19.29
2019-03-31,28.36,$1.10,25.78
2018-12-31,26.16,$1.47,17.8
2018-09-30,32.95,$3.05,10.8
2018-06-30,29.8,$3.21,9.28
2018-03-31,28.71,$1.51,19.01
2017-12-31,26.88,$1.46,18.41
2017-09-30,29.4,$-0.60,0.0
2017-06-30,29.18,$-0.63,0.0
2017-03-31,32.23,$0.82,39.3
2016-12-31,37.85,$0.41,92.32
2016-09-30,30.53,$-1.63,0.0
2016-06-30,29.85,$-1.73,0.0
2016-03-31,26.27,$-1.15,0.0
2015-12-31,26.32,$-0.49,0.0
2015-09-30,28.2,$2.08,13.56
2015-06-30,32.16,$2.71,11.87
2015-03-31,33.99,$3.18,10.69
2014-12-31,43.52,$3.84,11.33
2014-09-30,51.36,$4.03,12.74
2014-06-30,42.06,$4.05,10.39
2014-03-31,48.2,$3.53,13.64
2013-12-31,48.27,$3.18,15.18
2013-09-30,37.77,$2.63,14.34
2013-06-30,28.68,$2.63,10.92
2013-03-31,28.77,$2.62,10.98
2012-12-31,22.99,$2.83,8.13
2012-09-30,20.11,$3.07,6.54
2012-06-30,22.68,$2.87,7.91
2012-03-31,25.8,$3.44,7.5
2011-12-31,23.06,$3.41,6.77
2011-09-30,17.7,$3.55,4.98
2011-06-30,22.17,$3.21,6.9
2011-03-31,25.5,$2.51,10.17
2010-12-31,18.98,$2.33,8.16
2010-09-30,19.73,$1.99,9.93
2010-06-30,16.93,$1.98,8.55
2010-03-31,17.34,$1.65,10.49
2009-12-31,13.34,$1.39,9.57
