SPS Commerce PE Ratio Historical Data,SPS Commerce PE Ratio Historical Data,SPS Commerce PE Ratio Historical Data,SPS Commerce PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,194.33,,101.21
2024-06-30,188.16,$1.92,98.0
2024-03-31,184.9,$1.83,101.04
2023-12-31,193.84,$1.76,110.14
2023-09-30,170.61,$1.68,101.55
2023-06-30,192.06,$1.66,115.7
2023-03-31,152.3,$1.56,97.63
2022-12-31,128.43,$1.49,86.19
2022-09-30,124.23,$1.40,88.74
2022-06-30,113.05,$1.28,88.32
2022-03-31,131.2,$1.27,103.31
2021-12-31,142.35,$1.21,117.64
2021-09-30,161.31,$1.24,130.09
2021-06-30,99.85,$1.24,80.52
2021-03-31,99.31,$1.27,78.2
2020-12-31,108.59,$1.25,86.87
2020-09-30,77.87,$1.13,68.91
2020-06-30,75.12,$1.07,70.21
2020-03-31,46.51,$1.01,46.28
2019-12-31,55.42,$0.94,59.27
2019-09-30,47.07,$0.89,53.19
2019-06-30,51.11,$0.86,59.42
2019-03-31,53.03,$0.77,68.87
2018-12-31,41.19,$0.68,61.02
2018-09-30,49.62,$0.21,236.29
2018-06-30,36.74,$0.04,918.5
2018-03-31,32.04,$-0.06,0.0
2017-12-31,24.3,$-0.07,0.0
2017-09-30,28.36,$0.25,115.73
2017-06-30,31.88,$0.26,122.62
2017-03-31,29.25,$0.22,136.02
2016-12-31,34.95,$0.16,218.41
2016-09-30,36.71,$0.17,215.91
2016-06-30,30.3,$0.14,224.44
2016-03-31,21.47,$0.15,148.07
2015-12-31,35.11,$0.13,270.04
2015-09-30,33.95,$0.10,357.32
2015-06-30,32.9,$0.09,387.06
2015-03-31,33.55,$0.09,394.71
2014-12-31,28.32,$0.08,353.94
2014-09-30,26.58,$0.07,408.85
2014-06-30,31.6,$0.05,631.9
2014-03-31,30.73,$0.04,768.13
2013-12-31,32.65,$0.04,932.86
2013-09-30,33.46,$0.04,956.0
2013-06-30,27.5,$0.03,916.67
2013-03-31,21.34,$0.04,609.57
2012-12-31,18.64,$0.04,465.88
2012-09-30,19.24,$0.54,35.62
2012-06-30,15.19,$0.54,28.13
2012-03-31,13.44,$0.52,25.85
2011-12-31,12.98,$0.53,24.48
2011-09-30,8.15,$0.04,203.63
2011-06-30,8.9,$0.07,127.07
2011-03-31,7.76,$0.10,77.55
