Equinix PE Ratio Historical Data,Equinix PE Ratio Historical Data,Equinix PE Ratio Historical Data,Equinix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,834.36,,76.41
2024-06-30,752.68,$10.92,68.93
2024-03-31,816.66,$9.97,81.91
2023-12-31,793.06,$8.93,88.81
2023-09-30,711.29,$8.83,80.55
2023-06-30,764.32,$8.27,92.42
2022-12-31,632.44,$7.68,82.35
2022-09-30,546.64,$7.65,71.46
2022-06-30,628.65,$8.12,77.42
2022-03-31,706.21,$7.43,95.05
2021-12-31,802.0,$6.57,122.07
2023-03-31,699.57,$6.95,100.66
2021-09-30,746.49,$4.75,157.16
2021-06-30,755.65,$3.81,198.33
2021-03-31,637.28,$4.57,139.45
2020-12-31,666.81,$4.21,158.39
2020-09-30,707.21,$5.10,138.67
2020-06-30,651.2,$5.77,112.86
2020-03-31,576.77,$5.94,97.1
2019-12-31,536.77,$6.00,89.46
2019-09-30,528.12,$5.90,89.51
2019-06-30,459.66,$6.04,76.1
2019-03-31,410.97,$5.20,79.03
2018-12-31,317.9,$4.55,69.87
2018-09-30,388.03,$4.01,96.76
2018-06-30,383.32,$3.48,110.15
2018-03-31,370.64,$3.21,115.46
2017-12-31,399.42,$2.99,133.59
2017-09-30,391.7,$3.03,129.27
2017-06-30,374.99,$2.73,137.36
2017-03-31,348.23,$2.79,124.81
2016-12-31,309.2,$1.76,175.68
2016-09-30,310.01,$1.08,287.05
2016-06-30,332.07,$1.07,310.35
2016-03-31,281.81,$1.46,193.02
2015-12-31,256.18,$2.10,121.99
2015-09-30,221.38,$-4.50,0.0
2015-06-30,204.32,$-4.42,0.0
2015-03-31,186.13,$-4.64,0.0
2014-12-31,179.92,$-3.94,0.0
2014-09-30,168.62,$3.20,52.69
2014-03-31,146.68,$1.83,80.15
2013-12-31,140.82,$1.73,81.4
2013-09-30,145.74,$1.73,84.24
2013-06-30,146.59,$1.23,119.18
2013-03-31,171.65,$2.39,71.82
2012-12-31,163.63,$2.41,67.9
2014-06-30,166.72,$2.24,74.43
2012-09-30,163.51,$2.37,68.99
2012-06-30,139.39,$1.99,70.04
2012-03-31,124.95,$1.90,65.76
2011-12-31,80.47,$1.72,46.78
2011-09-30,70.49,$1.66,42.46
2011-06-30,80.17,$1.70,47.16
2011-03-31,72.29,$1.01,71.58
2010-12-31,64.48,$0.83,77.69
2010-09-30,81.22,$0.98,82.88
2010-06-30,64.45,$1.21,53.27
2010-03-31,77.24,$1.70,45.44
2009-12-31,84.24,$1.75,48.13
