Installed Building Products PE Ratio Historical Data,Installed Building Products PE Ratio Historical Data,Installed Building Products PE Ratio Historical Data,Installed Building Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,254.08,,28.36
2024-06-30,205.36,$8.96,22.92
2024-03-31,257.9,$8.84,29.17
2023-12-31,180.77,$8.61,20.99
2023-09-30,123.27,$8.74,14.1
2023-06-30,138.0,$8.47,16.29
2023-03-31,111.96,$8.36,13.39
2022-12-31,83.1,$7.76,10.71
2022-09-30,78.35,$6.33,12.38
2022-06-30,80.16,$5.38,14.9
2022-03-31,81.14,$4.57,17.75
2021-12-31,132.5,$4.01,33.04
2021-09-30,101.39,$3.96,25.6
2021-06-30,115.49,$3.73,30.96
2021-03-31,104.38,$3.33,31.34
2020-12-31,95.71,$3.28,29.18
2020-09-30,95.54,$2.98,32.06
2020-06-30,64.58,$2.74,23.57
2020-03-31,37.44,$2.51,14.91
2019-12-31,64.66,$2.28,28.36
2019-09-30,53.84,$2.18,24.7
2019-06-30,55.6,$1.97,28.23
2019-03-31,45.54,$1.86,24.48
2018-12-31,31.63,$1.76,17.97
2018-09-30,36.62,$1.56,23.47
2018-06-30,53.1,$1.44,36.87
2018-03-31,56.38,$1.30,43.37
2017-12-31,71.31,$1.30,54.86
2017-09-30,60.84,$1.31,46.44
2017-06-30,49.72,$1.30,38.24
2017-03-31,49.53,$1.24,39.94
2016-12-31,38.78,$1.23,31.53
2016-09-30,33.68,$1.18,28.54
2016-06-30,34.07,$1.11,30.7
2016-03-31,24.99,$1.00,24.99
2015-12-31,23.31,$0.85,27.43
2015-09-30,23.74,$0.71,33.43
2015-06-30,22.99,$0.60,38.31
2015-03-31,20.43,$0.46,44.42
2014-12-31,16.73,$-0.34,0.0
