Donnelley Financial Solutions PE Ratio Historical Data,Donnelley Financial Solutions PE Ratio Historical Data,Donnelley Financial Solutions PE Ratio Historical Data,Donnelley Financial Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,67.36,,19.19
2024-06-30,59.62,$3.51,16.99
2024-03-31,62.01,$3.28,18.91
2023-12-31,62.37,$2.71,23.01
2023-09-30,56.28,$2.72,20.69
2023-06-30,45.53,$2.74,16.62
2023-03-31,40.86,$2.92,13.99
2022-12-31,38.65,$3.17,12.19
2022-09-30,36.97,$3.54,10.44
2022-06-30,29.29,$4.14,7.07
2022-03-31,33.26,$3.96,8.4
2021-12-31,47.14,$4.21,11.2
2021-09-30,34.62,$2.41,14.37
2021-06-30,33.0,$1.40,23.57
2021-03-31,27.83,$0.12,231.92
2020-12-31,16.97,$-0.78,0.0
2020-09-30,13.36,$0.49,27.27
2020-06-30,8.4,$0.71,11.83
2020-03-31,5.27,$1.26,4.18
2019-12-31,10.47,$1.10,9.52
2019-09-30,12.32,$0.87,14.16
2019-06-30,13.34,$1.84,7.25
2019-03-31,14.88,$1.89,7.87
2018-12-31,14.03,$2.16,6.5
2018-09-30,17.92,$1.48,12.11
2018-06-30,17.37,$0.24,72.38
2018-03-31,17.17,$0.25,68.68
2017-12-31,19.49,$0.30,64.97
2017-09-30,21.56,$0.99,21.78
