Global Blue AG PE Ratio Historical Data,Global Blue AG PE Ratio Historical Data,Global Blue AG PE Ratio Historical Data,Global Blue AG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.19,,43.25
2024-06-30,4.82,$0.12,40.17
2024-03-31,5.24,$0.01,524.0
2023-09-30,6.08,$0.04,152.0
2023-06-30,4.88,$-0.01,0.0
2023-03-31,6.0,$-0.12,0.0
2022-12-31,4.63,$-0.26,0.0
2022-09-30,4.63,$-0.20,0.0
2022-06-30,4.92,$-0.29,0.0
2022-03-31,5.5,$0.46,11.96
2023-12-31,4.73,$0.35,13.51
2021-12-31,6.4,$0.29,22.05
2021-09-30,6.46,$0.43,15.02
2021-06-30,9.92,$-0.22,0.0
2021-03-31,12.18,$0.03,406.0
2020-06-30,10.24,$0.03,341.33
2020-03-31,10.12,$0.08,126.5
2019-12-31,10.33,$0.10,103.3
2019-09-30,10.22,$0.10,102.2
2019-06-30,10.19,$0.14,72.79
2019-03-31,9.95,$0.09,110.56
