Terreno Realty PE Ratio Historical Data,Terreno Realty PE Ratio Historical Data,Terreno Realty PE Ratio Historical Data,Terreno Realty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,64.47,,35.62
2024-06-30,58.75,$1.81,32.46
2024-03-31,65.42,$1.92,34.07
2023-12-31,61.32,$1.81,33.88
2023-09-30,55.18,$1.91,28.89
2023-06-30,57.92,$1.84,31.48
2023-03-31,61.84,$2.64,23.43
2022-12-31,54.1,$2.61,20.73
2022-09-30,50.06,$2.27,22.05
2022-06-30,52.25,$2.28,22.92
2022-03-31,69.01,$1.25,55.21
2021-12-31,79.11,$1.23,64.31
2021-09-30,58.4,$0.98,59.59
2021-06-30,59.27,$1.01,58.68
2021-03-31,52.79,$1.21,43.63
2020-12-31,53.2,$1.16,45.87
2020-09-30,49.28,$1.19,41.41
2020-06-30,47.37,$1.08,43.86
2020-03-31,46.33,$0.79,58.65
2019-12-31,48.2,$0.85,56.71
2019-09-30,45.02,$1.01,44.58
2019-06-30,43.01,$0.96,44.8
2019-03-31,36.87,$1.15,32.06
2018-12-31,30.67,$1.08,28.4
2018-09-30,32.45,$0.90,36.05
2018-06-30,32.24,$1.09,29.57
2018-03-31,29.53,$1.03,28.67
2017-12-31,29.81,$0.87,34.26
2017-09-30,30.39,$0.72,42.21
2017-06-30,28.11,$0.40,70.26
2016-12-31,23.62,$0.26,90.83
2016-09-30,22.46,$0.23,97.66
2016-06-30,20.98,$0.28,74.92
2016-03-31,19.01,$0.32,59.42
2015-12-31,18.2,$0.40,45.49
2017-03-31,23.38,$0.37,63.19
2015-09-30,15.55,$0.32,48.59
2015-06-30,15.47,$0.32,48.35
2015-03-31,17.78,$0.15,118.55
2014-12-31,16.09,$0.23,69.96
2014-09-30,14.47,$0.29,49.9
2014-06-30,14.75,$0.23,64.12
2014-03-31,14.33,$0.17,84.27
2013-12-31,13.41,$0.12,111.75
2013-09-30,13.26,$0.21,63.13
2013-06-30,13.74,$0.18,76.32
2013-03-31,13.24,$0.20,66.2
2012-12-31,11.37,$0.19,59.84
2012-09-30,11.46,$-0.03,0.0
2012-06-30,10.87,$-0.05,0.0
2012-03-31,10.23,$-0.21,0.0
2011-12-31,10.75,$-0.19,0.0
2011-09-30,9.04,$-0.17,0.0
2011-03-31,11.99,$-0.14,0.0
2010-12-31,12.48,0,0.0
2010-09-30,12.68,$-0.21,0.0
