Barrett Business Services PE Ratio Historical Data,Barrett Business Services PE Ratio Historical Data,Barrett Business Services PE Ratio Historical Data,Barrett Business Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.89,,20.76
2024-06-30,32.69,$1.83,17.91
2024-03-31,31.53,$1.82,17.3
2023-12-31,28.74,$1.86,15.47
2023-09-30,22.34,$1.73,12.93
2023-06-30,21.52,$1.67,12.88
2023-03-31,21.79,$1.67,13.03
2022-12-31,22.85,$1.65,13.83
2022-09-30,19.05,$1.59,11.96
2022-06-30,17.73,$1.47,12.06
2022-03-31,18.78,$1.41,13.32
2021-12-31,16.67,$1.25,13.34
2021-09-30,18.34,$1.13,16.19
2021-06-30,17.39,$1.24,14.0
2021-03-31,16.43,$1.06,15.5
2020-12-31,16.2,$1.10,14.76
2020-09-30,12.4,$1.24,9.98
2020-06-30,12.5,$1.45,8.61
2020-03-31,9.27,$1.53,6.07
2019-12-31,21.01,$1.56,13.45
2019-09-30,20.56,$1.74,11.83
2019-06-30,19.06,$1.55,12.28
2019-03-31,17.78,$1.47,12.14
2018-12-31,13.13,$1.23,10.67
2018-09-30,15.26,$1.02,14.92
2018-06-30,21.99,$0.89,24.78
2018-03-31,18.82,$0.89,21.14
2017-12-31,14.6,$0.82,17.91
2017-09-30,12.75,$0.74,17.23
2017-06-30,12.85,$0.60,21.6
2017-03-31,12.2,$0.52,23.58
2016-12-31,14.26,$0.63,22.73
2016-09-30,11.0,$0.75,14.76
2016-06-30,9.12,$0.79,11.5
2016-03-31,6.29,$0.80,7.87
2015-12-31,9.47,$0.88,10.82
2015-09-30,9.29,$0.73,12.72
2015-06-30,7.81,$-0.98,0.0
2015-03-31,9.16,$-1.03,0.0
2014-12-31,5.82,$-0.96,0.0
2014-09-30,8.31,$-1.01,0.0
2014-06-30,9.86,$0.61,16.24
2014-03-31,12.45,$0.56,22.14
2013-12-31,19.34,$0.89,21.79
2013-09-30,14.0,$0.91,15.47
2013-06-30,10.84,$0.74,14.75
2012-12-31,7.87,$0.48,16.39
2012-09-30,5.58,$0.28,20.09
2012-06-30,4.33,$-0.02,0.0
2012-03-31,4.04,$-0.01,0.0
2011-12-31,4.04,$0.13,31.68
2013-03-31,10.91,$0.27,41.17
2011-09-30,2.8,$0.43,6.48
2011-06-30,2.86,$0.39,7.39
2011-03-31,3.19,$0.36,8.93
2010-12-31,3.07,$0.18,16.83
2010-09-30,2.98,$0.16,18.93
2010-06-30,2.42,$0.14,17.59
2010-03-31,2.63,$-0.08,0.0
2009-12-31,2.37,$-0.12,0.0
