UP Fintech Holding PE Ratio Historical Data,UP Fintech Holding PE Ratio Historical Data,UP Fintech Holding PE Ratio Historical Data,UP Fintech Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.18,,42.24
2024-06-30,4.2,$0.17,24.71
2024-03-31,3.44,$0.23,14.96
2023-12-31,4.42,$0.20,22.1
2023-09-30,5.12,$0.22,23.27
2023-06-30,2.84,$0.16,17.75
2023-03-31,3.33,$0.07,47.57
2022-12-31,3.41,$-0.02,0.0
2022-09-30,3.29,$0.10,32.9
2022-06-30,4.71,$-0.07,0.0
2021-12-31,4.91,$0.08,61.38
2021-09-30,10.59,$0.18,58.83
2021-06-30,28.98,$0.08,362.25
2021-03-31,17.79,$0.24,74.13
2020-12-31,7.94,$0.12,66.17
2020-09-30,4.74,$0.06,79.0
2020-06-30,4.16,$-0.03,0.0
2020-03-31,2.73,$-0.05,0.0
2019-12-31,3.55,$-0.11,0.0
2019-03-31,12.94,$-0.12,0.0
