La-Z-Boy PE Ratio Historical Data,La-Z-Boy PE Ratio Historical Data,La-Z-Boy PE Ratio Historical Data,La-Z-Boy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.97,,14.58
2024-07-31,43.92,$2.81,15.63
2024-04-30,32.68,$2.83,11.55
2024-01-31,34.45,$2.71,12.71
2023-10-31,28.78,$2.79,10.31
2023-07-31,30.69,$3.23,9.5
2023-04-30,27.92,$3.49,8.0
2023-01-31,27.47,$4.03,6.82
2022-10-31,23.75,$3.94,6.03
2022-07-31,26.55,$3.76,7.06
2022-04-30,24.87,$3.41,7.29
2022-01-31,34.55,$2.89,11.96
2021-10-31,31.13,$2.86,10.89
2021-07-31,31.32,$2.72,11.51
2021-04-30,41.31,$2.28,18.12
2021-01-31,35.85,$1.52,23.58
2020-10-31,31.57,$1.38,22.88
2020-07-31,26.19,$1.01,25.93
2020-04-30,21.58,$0.94,22.96
2019-10-31,32.37,$1.50,21.58
2019-07-31,29.95,$1.44,20.8
2019-04-30,29.66,$1.45,20.45
2019-01-31,26.68,$2.14,12.47
2018-10-31,24.92,$1.78,14.0
2018-07-31,27.24,$1.83,14.88
2018-04-30,25.62,$1.68,15.25
2018-01-31,26.72,$1.53,17.46
2017-10-31,23.79,$1.75,13.6
2017-07-31,29.71,$1.70,17.48
2017-04-30,24.42,$1.74,14.04
2017-01-31,24.93,$1.62,15.39
2016-10-31,20.33,$1.58,12.87
2016-07-31,26.16,$1.57,16.66
2016-04-30,22.3,$2.03,10.99
2016-01-31,18.41,$1.85,9.95
2015-10-31,24.42,$1.81,13.49
2020-01-31,28.06,$1.74,16.13
2015-07-31,21.66,$1.37,15.81
2015-04-30,22.29,$1.35,16.51
2015-01-31,22.63,$1.19,19.01
2014-10-31,19.32,$1.16,16.65
2014-07-31,17.73,$1.10,16.12
2014-04-30,20.37,$1.03,19.78
2014-01-31,22.58,$1.13,19.98
2013-10-31,19.32,$1.14,16.95
2013-07-31,17.32,$0.95,18.23
2013-04-30,15.06,$0.85,17.72
2013-01-31,13.01,$0.89,14.62
2012-10-31,13.46,$0.85,15.83
2012-07-31,9.92,$0.88,11.28
2012-04-30,12.5,$0.99,12.63
2012-01-31,10.93,$0.81,13.5
2011-10-31,8.43,$0.60,14.05
2011-04-30,9.76,$0.45,21.68
2011-01-31,6.9,$0.52,13.27
2010-10-31,6.45,$1.18,5.46
2010-07-31,7.1,$1.32,5.38
2010-04-30,10.82,$1.43,7.57
2011-07-31,7.28,$1.21,6.01
2010-01-31,8.42,$0.46,18.31
2009-10-31,5.89,$-1.00,0.0
