Gulfport Energy PE Ratio Historical Data,Gulfport Energy PE Ratio Historical Data,Gulfport Energy PE Ratio Historical Data,Gulfport Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,147.65,,3.75
2024-06-30,151.0,$39.33,3.84
2024-03-31,160.12,$45.02,3.56
2023-12-31,133.2,$65.58,2.03
2023-09-30,118.66,$86.80,1.37
2023-06-30,105.07,$58.42,1.8
2023-03-31,80.0,$64.58,1.24
2022-12-31,73.64,$18.45,3.99
2022-09-30,88.29,$8.50,10.39
2022-06-30,79.51,$-12.99,0.0
2022-03-31,89.82,$-23.33,0.0
