Palomar Holdings PE Ratio Historical Data,Palomar Holdings PE Ratio Historical Data,Palomar Holdings PE Ratio Historical Data,Palomar Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,97.4,,25.7
2024-06-30,81.15,$3.79,21.41
2024-03-31,83.83,$3.48,24.09
2023-12-31,55.5,$3.12,17.79
2023-09-30,50.75,$2.83,17.93
2023-06-30,58.04,$2.27,25.57
2023-03-31,55.2,$2.15,25.67
2022-12-31,45.16,$2.03,22.25
2022-09-30,83.72,$1.94,43.15
2022-06-30,64.4,$1.78,36.18
2022-03-31,63.99,$1.68,38.09
2021-12-31,64.77,$1.75,37.01
2021-09-30,80.83,$1.04,77.72
2021-06-30,75.46,$0.41,184.05
2021-03-31,67.04,$0.42,159.62
2020-12-31,88.84,$0.27,329.04
2020-09-30,104.24,$0.79,131.95
2020-06-30,85.76,$1.72,49.86
2020-03-31,58.16,$1.54,37.77
