Enersys PE Ratio Historical Data,Enersys PE Ratio Historical Data,Enersys PE Ratio Historical Data,Enersys PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,103.07,,15.59
2024-06-30,103.27,$6.61,15.62
2024-03-31,94.03,$6.50,14.47
2023-12-31,100.25,$6.61,15.17
2023-09-30,93.79,$5.83,16.09
2023-06-30,107.27,$5.11,20.99
2023-03-31,85.73,$4.26,20.13
2022-12-31,72.71,$3.34,21.77
2022-09-30,57.15,$3.11,18.38
2022-06-30,57.76,$3.09,18.69
2022-03-31,72.86,$3.35,21.75
2021-12-31,77.06,$3.46,22.27
2021-09-30,72.39,$3.50,20.68
2021-06-30,94.83,$3.51,27.02
2021-03-31,87.94,$3.32,26.49
2020-12-31,80.3,$2.50,32.12
2020-09-30,64.76,$2.25,28.78
2020-06-30,61.95,$2.89,21.44
2020-03-31,47.52,$3.20,14.85
2019-12-31,71.52,$3.66,19.54
2019-09-30,62.88,$4.14,15.19
2019-06-30,65.14,$3.78,17.23
2019-03-31,61.8,$3.73,16.57
2018-12-31,73.41,$4.58,16.03
2018-09-30,82.24,$2.85,28.85
2018-06-30,70.3,$2.74,25.66
2018-03-31,65.19,$2.42,26.94
2017-12-31,65.28,$1.97,33.14
2017-09-30,64.68,$3.62,17.87
2017-03-31,73.46,$3.64,20.18
2016-12-31,72.51,$3.09,23.47
2016-09-30,64.09,$3.36,19.08
2016-06-30,54.95,$3.18,17.28
2016-03-31,51.35,$3.03,16.95
2017-06-30,67.57,$3.86,17.51
2015-12-31,51.38,$3.34,15.38
2015-09-30,49.07,$3.52,13.94
2015-06-30,64.15,$3.81,16.84
2015-03-31,58.49,$3.76,15.56
2014-12-31,56.04,$3.45,16.24
2014-09-30,53.09,$3.51,15.12
2014-06-30,62.1,$3.19,19.47
2014-03-31,62.4,$3.03,20.59
2013-12-31,63.02,$3.54,17.8
2013-09-30,54.41,$3.24,16.79
2013-06-30,43.91,$3.30,13.31
2013-03-31,40.71,$3.42,11.9
2012-12-31,33.61,$3.59,9.36
2012-09-30,31.52,$3.56,8.85
2012-06-30,31.32,$3.23,9.7
2012-03-31,30.95,$2.94,10.53
2011-12-31,23.19,$2.59,8.96
2011-09-30,17.88,$2.49,7.18
2011-06-30,30.74,$2.45,12.55
2011-03-31,35.5,$2.26,15.71
2010-12-31,28.69,$2.03,14.13
2010-09-30,22.3,$1.83,12.19
2010-06-30,19.09,$1.56,12.23
2010-03-31,22.02,$1.26,17.48
2009-12-31,19.53,$0.97,20.14
