Science Applications PE Ratio Historical Data,Science Applications PE Ratio Historical Data,Science Applications PE Ratio Historical Data,Science Applications PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,147.64,,26.55
2024-07-31,124.08,$5.56,22.32
2024-04-30,127.97,$8.54,14.98
2024-01-31,126.56,$8.85,14.3
2023-10-31,107.99,$9.45,11.43
2023-07-31,119.56,$9.14,13.08
2023-04-30,100.21,$5.88,17.04
2023-01-31,101.58,$5.38,18.88
2022-10-31,105.67,$4.80,22.02
2022-07-31,94.11,$4.57,20.59
2022-04-30,80.53,$4.68,17.21
2022-01-31,79.04,$4.77,16.57
2021-10-31,86.14,$5.06,17.02
2021-07-31,83.41,$4.86,17.16
2021-04-30,85.08,$4.32,19.7
2021-01-31,90.99,$3.56,25.56
2020-10-31,72.09,$3.52,20.48
2020-07-31,75.14,$3.44,21.84
2020-04-30,76.33,$3.53,21.62
2020-01-31,81.63,$3.83,21.31
2019-10-31,76.54,$2.62,29.21
2019-07-31,78.74,$2.79,28.22
2019-04-30,68.83,$2.96,23.25
2019-01-31,61.36,$3.17,19.35
2018-10-31,63.22,$4.53,13.96
2018-07-31,76.4,$4.39,17.4
2018-04-30,77.4,$4.06,19.06
2018-01-31,68.9,$4.01,17.18
2017-10-31,65.66,$3.64,18.04
2017-07-31,62.76,$3.58,17.53
2017-04-30,64.78,$3.59,18.04
2017-01-31,71.96,$3.22,22.35
2016-10-31,60.68,$3.03,20.03
2016-07-31,53.26,$2.84,18.75
2016-04-30,46.3,$2.49,18.59
2016-01-31,36.95,$2.47,14.96
2015-10-31,39.48,$2.62,15.07
2015-07-31,45.87,$2.67,17.18
2015-04-30,42.56,$2.91,14.63
2015-01-31,41.22,$2.91,14.16
2014-10-31,41.1,$2.82,14.58
2014-07-31,34.88,$2.49,14.01
