Flowserve PE Ratio Historical Data,Flowserve PE Ratio Historical Data,Flowserve PE Ratio Historical Data,Flowserve PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,54.79,,28.39
2024-06-30,47.9,$1.93,24.82
2024-03-31,45.3,$1.77,25.59
2023-12-31,40.69,$1.41,28.86
2023-09-30,39.07,$1.86,21.0
2023-06-30,36.31,$1.80,20.17
2023-03-31,33.04,$1.75,18.88
2022-12-31,29.63,$1.43,20.72
2022-09-30,23.32,$0.64,36.43
2022-06-30,27.25,$0.73,37.33
2022-03-31,33.93,$0.74,45.85
2021-12-31,28.75,$0.97,29.64
2021-09-30,32.36,$1.27,25.48
2021-06-30,37.42,$1.28,29.24
2021-03-31,35.85,$1.00,35.85
2020-12-31,33.86,$0.89,38.04
2020-09-30,24.94,$0.99,25.19
2020-06-30,25.88,$1.12,23.11
2020-03-31,21.53,$1.49,14.45
2019-12-31,44.48,$1.93,23.05
2019-09-30,41.58,$1.88,22.12
2019-06-30,46.72,$1.57,29.76
2019-03-31,39.88,$1.23,32.42
2018-12-31,33.27,$0.91,36.56
2018-09-30,47.86,$-0.38,0.0
2018-06-30,35.24,$-0.23,0.0
2018-03-31,37.61,$-0.01,0.0
2017-12-31,36.25,$-0.02,0.0
2017-09-30,36.64,$1.29,28.41
2017-06-30,39.77,$0.77,51.65
2017-03-31,41.3,$0.93,44.4
2016-12-31,40.81,$1.11,36.77
2016-09-30,40.81,$1.15,35.49
2016-06-30,38.06,$2.01,18.94
2016-03-31,37.28,$2.09,17.84
2015-12-31,35.18,$2.00,17.59
2015-09-30,34.24,$2.62,13.07
2015-06-30,43.64,$2.85,15.31
2015-03-31,46.65,$3.19,14.62
2014-12-31,49.26,$3.77,13.07
2014-09-30,57.9,$3.62,16.0
2014-06-30,60.91,$3.59,16.97
2014-03-31,64.05,$3.53,18.14
2013-12-31,64.31,$3.42,18.8
2013-09-30,50.81,$3.35,15.15
2013-06-30,43.88,$3.14,13.96
2013-03-31,44.95,$2.96,15.17
2012-12-31,39.25,$2.86,13.74
2012-09-30,34.07,$2.66,12.79
2012-06-30,30.52,$2.61,11.68
2012-03-31,30.62,$2.54,12.06
2011-12-31,26.25,$2.55,10.29
2011-09-30,19.49,$2.47,7.9
2011-06-30,28.83,$2.44,11.81
2011-03-31,33.69,$2.39,14.08
2010-12-31,31.1,$2.29,13.56
2010-09-30,28.48,$2.28,12.49
2010-06-30,22.01,$2.36,9.34
2010-03-31,28.53,$2.46,11.61
2009-12-31,24.39,$2.53,9.64
