Wipro PE Ratio Historical Data,Wipro PE Ratio Historical Data,Wipro PE Ratio Historical Data,Wipro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.35,,24.42
2024-06-30,6.1,$0.26,23.46
2023-09-30,4.83,$0.26,18.58
2023-06-30,4.71,$0.26,18.12
2023-03-31,4.48,$0.26,17.23
2022-12-31,4.64,$0.26,17.84
2022-09-30,4.69,$0.26,18.03
2022-06-30,5.29,$0.27,19.58
2022-03-31,7.61,$0.29,26.25
2021-12-31,9.62,$0.29,33.17
2021-09-30,8.7,$0.29,30.01
2021-06-30,7.7,$0.28,27.49
2021-03-31,6.25,$0.26,24.03
2020-12-31,5.56,$0.24,23.15
2020-09-30,4.62,$0.23,20.1
2020-06-30,3.26,$0.23,14.15
2020-03-31,3.05,$0.23,13.26
2019-12-31,3.67,$0.24,15.31
2019-09-30,3.58,$0.24,14.9
2019-06-30,4.24,$0.23,18.86
2019-03-31,3.9,$0.22,17.93
2018-12-31,3.76,$0.20,18.58
2018-09-30,3.82,$0.19,20.38
2018-06-30,3.51,$0.20,18.02
2018-03-31,3.79,$0.20,19.41
2017-12-31,4.0,$0.20,19.76
2017-09-30,4.16,$0.21,20.14
2017-06-30,3.8,$0.20,18.78
2017-03-31,3.74,$0.20,19.18
2016-12-31,3.53,$0.20,18.09
2016-09-30,3.54,$0.20,17.81
2016-06-30,4.5,$0.20,22.22
2016-03-31,4.58,$0.21,21.42
2015-12-31,4.17,$0.21,19.53
2015-09-30,4.45,$0.21,20.8
2015-03-31,4.78,$0.21,22.34
2014-12-31,4.03,$0.21,18.86
2014-09-30,4.33,$0.21,20.62
2014-06-30,4.21,$0.21,20.38
2014-03-31,4.74,$0.20,24.29
2013-12-31,4.44,$0.19,23.65
2013-09-30,3.62,$0.18,19.83
2013-06-30,2.57,$0.17,14.78
2013-03-31,3.52,$0.17,20.38
2012-12-31,3.04,$0.16,18.53
2012-09-30,3.1,$0.16,19.74
2012-06-30,3.18,$0.15,20.68
2012-03-31,3.78,$0.15,24.59
2011-12-31,3.49,$0.17,21.0
2011-09-30,3.17,$0.17,18.33
2011-06-30,4.51,$0.18,25.6
2015-06-30,4.29,$0.18,24.36
2011-03-31,4.98,$0.16,30.42
2010-12-31,5.25,$0.16,33.55
2010-09-30,4.9,$0.15,32.18
2010-06-30,4.07,$0.15,27.8
2010-03-31,4.65,$0.13,34.62
2009-12-31,4.45,$0.12,36.32
