Essential Utilities PE Ratio Historical Data,Essential Utilities PE Ratio Historical Data,Essential Utilities PE Ratio Historical Data,Essential Utilities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.08,,19.55
2024-06-30,37.02,$2.05,18.06
2024-03-31,36.46,$2.11,17.28
2023-12-31,36.43,$1.86,19.59
2023-09-30,33.19,$1.80,18.44
2023-06-30,38.28,$1.76,21.75
2023-03-31,41.59,$1.73,24.04
2022-12-31,45.19,$1.77,25.53
2022-09-30,38.92,$1.77,21.99
2022-06-30,42.88,$1.70,25.23
2022-03-31,47.53,$1.71,27.8
2021-12-31,49.62,$1.67,29.71
2021-09-30,42.35,$1.63,25.98
2021-06-30,41.77,$1.66,25.16
2021-03-31,40.68,$1.63,24.95
2020-12-31,42.76,$1.11,38.52
2020-09-30,36.19,$0.99,36.56
2020-06-30,37.77,$1.15,32.85
2020-03-31,36.18,$1.11,32.59
2019-12-31,41.54,$1.00,41.54
2019-09-30,39.46,$0.70,56.38
2019-06-30,36.22,$0.76,47.66
2019-03-31,31.73,$0.88,36.06
2018-12-31,29.59,$1.08,27.4
2018-09-30,31.72,$1.40,22.66
2018-06-30,30.07,$1.39,21.63
2018-03-31,28.93,$1.36,21.27
2017-12-31,33.13,$1.35,24.54
2017-09-30,27.87,$1.33,20.96
2017-06-30,27.79,$1.31,21.22
2017-03-31,26.67,$1.30,20.52
2016-12-31,24.77,$1.31,18.91
2016-09-30,24.96,$1.19,20.98
2016-06-30,29.03,$1.16,25.02
2016-03-31,25.76,$1.15,22.4
2015-12-31,23.99,$1.13,21.23
2015-09-30,21.18,$1.35,15.69
2015-06-30,19.47,$1.35,14.42
2015-03-31,20.81,$1.34,15.53
2014-12-31,20.96,$1.31,16.0
2014-09-30,18.35,$1.25,14.68
2014-06-30,20.31,$1.23,16.51
2014-03-31,19.3,$1.22,15.77
2013-12-31,18.05,$1.25,14.46
2013-09-30,18.81,$1.31,14.38
2013-06-30,18.92,$1.24,15.31
2013-03-31,18.91,$1.17,16.14
2012-12-31,15.2,$1.12,13.52
2012-09-30,14.69,$0.94,15.7
2012-06-30,14.71,$0.89,16.57
2012-03-31,13.04,$0.86,15.09
2011-12-31,12.8,$0.82,15.54
2011-09-30,12.43,$0.80,15.53
2011-06-30,12.57,$0.82,15.41
2011-03-31,13.0,$0.78,16.75
2010-12-31,12.68,$0.73,17.42
2010-09-30,11.42,$0.72,15.86
2010-06-30,9.82,$0.66,14.79
2010-03-31,9.68,$0.64,15.13
2009-12-31,9.56,$0.62,15.32
