Abercrombie & Fitch PE Ratio Historical Data,Abercrombie & Fitch PE Ratio Historical Data,Abercrombie & Fitch PE Ratio Historical Data,Abercrombie & Fitch PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,160.65,,17.02
2024-07-31,147.48,$9.44,15.62
2024-04-30,121.52,$8.04,15.11
2024-01-31,101.9,$6.22,16.38
2023-10-31,60.82,$4.00,15.21
2023-07-31,39.61,$2.13,18.6
2023-04-30,23.54,$0.71,33.15
2023-01-31,28.96,$1.51,19.18
2022-10-31,17.58,$1.53,11.49
2022-04-30,34.58,$3.26,10.61
2022-01-31,39.0,$4.22,9.24
2021-10-31,39.54,$4.37,9.05
2021-07-31,37.81,$3.27,11.56
2021-04-30,37.49,$2.24,16.74
2021-01-31,23.07,$1.69,13.65
2022-07-31,17.81,$-3.48,0.0
2020-10-31,14.22,$-1.86,0.0
2020-07-31,9.63,$-2.42,0.0
2020-04-30,10.58,$-2.99,0.0
2020-01-31,16.08,$0.62,25.94
2019-10-31,15.73,$0.75,20.97
2019-07-31,18.16,$1.00,18.16
2019-04-30,28.31,$1.42,19.93
2019-01-31,20.36,$1.09,18.68
2018-10-31,18.32,$0.72,25.45
2018-07-31,21.83,$0.52,41.98
2018-04-30,23.42,$0.35,66.91
2018-01-31,18.76,$0.06,312.69
2017-10-31,12.03,$-0.28,0.0
2017-07-31,8.67,$-0.31,0.0
2017-04-30,10.41,$-0.27,0.0
2017-01-31,9.91,$0.05,198.23
2016-10-31,12.3,$0.19,64.74
2016-07-31,17.24,$0.67,25.74
2016-04-30,22.03,$0.85,25.92
2016-01-31,21.48,$2.07,10.38
2015-10-31,17.22,$1.47,11.71
2015-07-31,16.16,$1.04,15.54
2015-01-31,20.16,$0.73,27.62
2014-10-31,26.27,$0.95,27.65
2014-07-31,30.72,$-0.21,0.0
2014-04-30,28.56,$-0.58,0.0
2014-01-31,27.36,$-0.12,0.0
2015-04-30,17.91,$-1.06,0.0
2013-10-31,28.81,$1.80,16.01
2013-07-31,38.12,$2.87,13.28
2013-04-30,37.74,$2.92,12.92
2013-01-31,37.91,$3.04,12.47
2012-10-31,23.09,$1.31,17.63
2012-07-31,25.4,$1.01,25.15
2012-04-30,37.52,$1.17,32.06
2012-01-31,34.23,$1.42,24.1
2011-10-31,55.22,$2.23,24.76
2011-07-31,54.1,$2.22,24.37
2011-04-30,52.26,$2.09,25.01
2011-01-31,37.09,$1.68,22.08
2010-10-31,31.42,$1.18,26.63
2010-07-31,26.95,$1.06,25.43
2010-04-30,31.74,$0.54,58.78
2010-01-31,22.78,$0.36,63.29
2009-10-31,23.6,$0.61,38.69
