Pulse Biosciences PE Ratio Historical Data,Pulse Biosciences PE Ratio Historical Data,Pulse Biosciences PE Ratio Historical Data,Pulse Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.77,,0.0
2024-06-30,11.19,$-0.59,0.0
2024-03-31,8.71,$-0.81,0.0
2023-12-31,12.24,$-0.89,0.0
2023-09-30,4.03,$-0.92,0.0
2023-06-30,7.19,$-1.22,0.0
2023-03-31,3.36,$-1.44,0.0
2022-12-31,2.77,$-1.76,0.0
2022-09-30,2.3,$-2.03,0.0
2022-06-30,1.53,$-2.02,0.0
2022-03-31,4.86,$-2.16,0.0
2021-12-31,14.81,$-2.29,0.0
2021-09-30,21.6,$-2.31,0.0
2021-06-30,16.4,$-2.34,0.0
2021-03-31,23.68,$-2.29,0.0
2020-12-31,23.86,$-2.15,0.0
2020-09-30,11.79,$-2.27,0.0
2020-06-30,10.46,$-2.33,0.0
2020-03-31,7.16,$-2.35,0.0
2019-12-31,13.41,$-2.27,0.0
2019-09-30,15.44,$-2.12,0.0
2019-06-30,13.2,$-2.19,0.0
2019-03-31,17.59,$-2.18,0.0
2018-12-31,11.46,$-2.20,0.0
2018-09-30,14.19,$-2.22,0.0
2018-06-30,15.14,$-2.10,0.0
2018-03-31,13.53,$-1.99,0.0
2017-12-31,23.6,$-1.71,0.0
2017-09-30,18.61,$-1.39,0.0
2017-06-30,34.53,$-1.08,0.0
2017-03-31,20.41,$-0.88,0.0
