Interactive Brokers PE Ratio Historical Data,Interactive Brokers PE Ratio Historical Data,Interactive Brokers PE Ratio Historical Data,Interactive Brokers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,149.43,,31.53
2024-09-30,139.36,$4.74,29.4
2024-06-30,122.36,$6.30,19.42
2024-03-31,111.27,$5.85,19.02
2023-12-31,82.5,$5.66,14.58
2023-09-30,86.03,$5.49,15.67
2023-06-30,82.47,$4.90,16.83
2023-03-31,81.86,$4.42,18.52
2022-12-31,71.65,$3.74,19.16
2022-09-30,63.22,$3.10,20.39
2022-06-30,54.32,$2.56,21.22
2022-03-31,64.98,$2.84,22.88
2021-12-31,78.18,$3.26,23.98
2021-09-30,61.29,$3.40,18.03
2021-06-30,64.52,$3.55,18.17
2021-03-31,71.59,$2.95,24.27
2020-12-31,59.63,$2.39,24.95
2020-09-30,47.22,$2.15,21.96
2020-06-30,40.73,$2.02,20.16
2020-03-31,42.0,$2.05,20.49
2019-12-31,45.26,$2.09,21.66
2019-09-30,54.05,$2.09,25.86
2019-06-30,53.95,$2.15,25.09
2019-03-31,53.85,$2.30,23.42
2018-12-31,53.76,$2.29,23.48
2018-09-30,53.21,$1.70,31.3
2018-06-30,61.86,$1.62,38.19
2018-03-31,64.49,$1.36,47.42
2017-12-31,56.71,$1.07,53.0
2017-09-30,43.06,$1.16,37.12
2017-06-30,35.69,$1.03,34.65
2017-03-31,33.02,$1.11,29.75
2016-12-31,34.63,$1.28,27.06
2016-09-30,33.37,$1.46,22.85
2016-06-30,33.4,$1.51,22.12
2016-03-31,37.0,$1.48,25.0
2015-12-31,40.91,$0.75,54.55
2015-09-30,36.95,$0.62,59.6
2015-06-30,38.81,$0.32,121.29
2015-03-31,31.68,$0.21,150.87
2014-12-31,27.07,$0.77,35.16
2014-09-30,23.08,$0.72,32.06
2014-06-30,21.45,$0.99,21.67
2014-03-31,19.87,$0.94,21.14
2013-12-31,22.22,$0.74,30.03
2013-09-30,17.07,$0.86,19.85
2013-06-30,14.44,$0.80,18.04
2013-03-31,13.39,$0.76,17.62
2012-12-31,12.2,$0.86,14.19
2012-09-30,11.6,$0.97,11.96
2012-06-30,12.09,$1.21,9.99
2012-03-31,13.87,$1.26,11.01
2011-12-31,12.11,$1.40,8.65
2011-09-30,11.22,$0.44,25.49
2011-06-30,12.52,$0.20,62.58
2011-03-31,12.63,$0.07,180.45
2010-12-31,14.17,$-0.25,0.0
2010-09-30,12.41,$0.61,20.34
2010-06-30,11.97,$0.66,18.13
2009-12-31,12.77,$0.87,14.68
2009-09-30,14.32,$0.90,15.92
