PennyMac Mortgage Investment Trust PE Ratio Historical Data,PennyMac Mortgage Investment Trust PE Ratio Historical Data,PennyMac Mortgage Investment Trust PE Ratio Historical Data,PennyMac Mortgage Investment Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.09,,9.33
2024-06-30,13.0,$1.51,8.61
2024-03-31,13.49,$1.50,8.99
2023-12-31,13.74,$1.61,8.53
2023-09-30,10.74,$1.10,9.76
2023-06-30,11.34,$0.60,18.9
2023-03-31,10.04,$-0.44,0.0
2022-12-31,10.08,$-1.26,0.0
2022-09-30,8.92,$-1.47,0.0
2022-06-30,10.14,$-1.93,0.0
2022-03-31,12.02,$-0.73,0.0
2021-12-31,12.33,$0.26,47.44
2021-09-30,13.33,$1.32,10.1
2021-06-30,13.93,$2.71,5.14
2021-03-31,12.66,$6.90,1.83
2020-12-31,11.36,$0.24,47.33
2020-09-30,9.87,$0.01,0.0
2020-06-30,10.53,$-0.22,0.0
2020-03-31,6.23,$-4.23,0.0
2019-12-31,13.07,$2.44,5.36
2019-09-30,12.5,$2.44,5.12
2019-06-30,12.02,$2.35,5.11
2019-03-31,11.15,$2.32,4.81
2018-12-31,10.03,$1.99,5.04
2018-09-30,10.37,$1.94,5.35
2018-06-30,9.5,$1.52,6.25
2018-03-31,8.78,$1.43,6.14
2017-12-31,7.83,$1.48,5.29
2017-09-30,8.01,$1.42,5.64
2017-06-30,8.21,$1.71,4.8
2017-03-31,7.76,$1.25,6.21
2016-12-31,7.16,$1.05,6.82
2016-09-30,6.41,$0.82,7.82
2016-06-30,6.49,$0.82,7.91
2016-03-31,5.26,$1.26,4.18
2015-12-31,5.89,$1.15,5.12
2015-09-30,5.62,$1.28,4.39
2015-06-30,6.12,$1.48,4.13
2015-03-31,7.26,$2.05,3.54
2014-12-31,7.19,$2.46,2.92
2014-09-30,6.9,$2.81,2.46
2014-06-30,6.88,$2.69,2.56
2014-03-31,7.31,$2.62,2.79
2013-12-31,6.85,$3.02,2.27
2013-09-30,6.59,$3.16,2.09
2013-06-30,5.96,$3.40,1.75
2013-03-31,7.16,$3.33,2.15
2012-12-31,6.83,$3.08,2.22
2012-09-30,6.01,$2.95,2.04
2012-06-30,4.95,$2.87,1.73
2012-03-31,4.55,$2.67,1.71
2011-12-31,3.93,$2.37,1.66
2011-09-30,3.65,$2.10,1.74
2011-06-30,3.69,$1.82,2.03
2011-03-31,4.0,$1.71,2.34
2010-12-31,3.86,$1.43,2.7
2010-09-30,3.72,$1.00,3.72
2010-06-30,3.24,$0.51,6.35
