Southwest Airlines PE Ratio Historical Data,Southwest Airlines PE Ratio Historical Data,Southwest Airlines PE Ratio Historical Data,Southwest Airlines PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,28.92,,222.46
2024-06-30,28.61,$0.13,220.08
2024-03-31,29.01,$0.63,46.04
2023-12-31,28.55,$0.75,38.07
2023-09-30,26.6,$0.75,35.46
2023-06-30,35.37,$0.88,40.19
2023-03-31,31.62,$1.00,31.62
2022-12-31,32.38,$0.80,40.47
2022-09-30,29.66,$1.28,23.17
2022-06-30,34.73,$1.57,22.12
2022-03-31,44.04,$0.94,46.85
2021-12-31,41.19,$1.60,25.75
2021-09-30,49.45,$-0.05,0.0
2021-06-30,51.05,$-2.74,0.0
2021-03-31,58.71,$-4.94,0.0
2020-12-31,44.82,$-5.31,0.0
2020-09-30,36.06,$-2.79,0.0
2020-06-30,32.87,$0.40,82.17
2020-03-31,34.24,$3.40,10.07
2019-12-31,51.7,$4.28,12.08
2019-09-30,51.56,$4.47,11.53
2019-06-30,48.3,$4.32,11.18
2019-03-31,49.2,$4.22,11.66
2018-12-31,44.05,$4.31,10.22
2018-09-30,59.19,$6.32,9.36
2018-06-30,48.09,$6.08,7.91
2018-03-31,53.98,$6.04,8.94
2017-12-31,61.54,$5.82,10.57
2017-09-30,52.53,$3.48,15.09
2017-06-30,58.17,$3.26,17.84
2017-03-31,50.23,$3.31,15.17
2016-12-31,46.48,$3.53,13.17
2016-09-30,36.19,$3.51,10.31
2016-06-30,36.39,$3.77,9.65
2016-03-31,41.48,$3.39,12.24
2015-12-31,39.8,$3.26,12.21
2015-09-30,35.1,$2.72,12.9
2015-06-30,30.48,$2.32,13.14
2015-03-31,40.72,$1.64,24.83
2014-12-31,38.85,$1.28,30.35
2014-09-30,30.95,$1.37,22.59
2014-03-31,21.55,$1.20,17.96
2013-12-31,17.17,$1.06,16.19
2013-09-30,13.24,$0.87,15.22
2013-06-30,11.69,$1.17,9.99
2013-03-31,12.19,$0.88,13.85
2012-12-31,9.25,$1.10,8.41
2014-06-30,24.57,$1.12,21.94
2012-09-30,7.91,$0.65,12.17
2012-06-30,8.31,$0.45,18.47
2012-03-31,7.42,$0.36,20.61
2011-12-31,7.7,$0.24,32.09
2011-09-30,7.23,$0.22,32.87
2011-06-30,10.26,$0.67,15.32
2011-03-31,11.35,$0.61,18.6
2010-12-31,11.66,$0.61,19.11
2010-09-30,11.73,$0.59,19.89
2010-06-30,9.97,$0.30,33.24
2010-03-31,11.86,$0.22,53.91
2009-12-31,10.25,$0.09,113.89
