Baker Hughes PE Ratio Historical Data,Baker Hughes PE Ratio Historical Data,Baker Hughes PE Ratio Historical Data,Baker Hughes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,35.17,,17.85
2024-06-30,34.96,$1.97,17.74
2024-03-31,33.08,$1.79,18.48
2023-12-31,33.51,$1.91,17.54
2023-09-30,34.43,$1.66,20.74
2023-06-30,30.64,$1.13,27.12
2023-03-31,27.79,$-0.11,0.0
2022-12-31,28.26,$-0.60,0.0
2022-09-30,19.93,$-0.46,0.0
2022-06-30,27.25,$-0.43,0.0
2022-03-31,34.2,$0.33,103.64
2021-12-31,22.45,$-0.36,0.0
2021-09-30,22.91,$0.23,99.62
2021-06-30,21.01,$-0.03,0.0
2021-03-31,19.71,$-0.26,0.0
2020-12-31,18.87,$-15.29,0.0
2020-09-30,11.89,$-16.13,0.0
2020-06-30,13.62,$-15.77,0.0
2020-03-31,9.18,$-15.48,0.0
2019-12-31,22.23,$0.22,101.05
2019-09-30,19.96,$0.43,46.42
2019-06-30,21.03,$0.35,60.08
2019-03-31,23.49,$0.32,73.39
2018-12-31,18.08,$0.43,42.05
2018-09-30,28.23,$0.08,352.93
2018-06-30,27.42,$-0.19,0.0
2018-03-31,22.94,$-0.56,0.0
2017-12-31,25.99,$-1.71,0.0
2017-09-30,29.91,$-2.64,0.0
2017-06-30,30.14,$-4.48,0.0
2016-12-31,35.92,$-6.28,0.0
2016-09-30,27.91,$-7.65,0.0
2016-06-30,24.95,$-7.01,0.0
2016-03-31,24.23,$-3.41,0.0
2015-12-31,25.52,$-0.33,0.0
2015-09-30,28.77,$2.82,10.2
2014-12-31,31.0,$3.92,7.91
2014-09-30,35.97,$2.96,12.15
2014-06-30,41.17,$1.67,24.65
2014-03-31,35.95,$1.64,21.92
2013-12-31,30.55,$1.44,21.22
2015-06-30,34.12,$1.48,23.05
2013-09-30,27.08,$2.40,11.28
2013-06-30,25.36,$2.26,11.22
2013-03-31,25.43,$2.72,9.35
2012-12-31,22.31,$2.98,7.49
2012-09-30,24.62,$3.21,7.67
2012-06-30,22.3,$4.19,5.32
2012-03-31,22.67,$3.96,5.73
2011-12-31,26.22,$3.97,6.6
2011-09-30,24.81,$4.02,6.17
2011-06-30,38.92,$3.00,12.97
2011-03-31,39.3,$2.46,15.98
2010-12-31,30.53,$2.00,15.27
2010-09-30,22.68,$1.50,15.12
2010-06-30,22.06,$1.09,20.24
2010-03-31,24.77,$1.14,21.73
2009-12-31,21.34,$1.36,15.69
2009-09-30,22.41,$0.79,28.37
2009-06-30,19.08,$-0.74,0.0
