Kiniksa Pharmaceuticals PE Ratio Historical Data,Kiniksa Pharmaceuticals PE Ratio Historical Data,Kiniksa Pharmaceuticals PE Ratio Historical Data,Kiniksa Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.75,,0.0
2024-06-30,18.67,$-0.16,0.0
2024-03-31,19.73,$0.11,179.36
2023-12-31,17.54,$0.18,97.44
2023-09-30,17.37,$-0.11,0.0
2023-06-30,14.08,$3.27,4.31
2023-03-31,10.76,$2.77,3.88
2022-12-31,14.98,$2.59,5.78
2022-09-30,12.84,$2.00,6.42
2022-06-30,9.69,$-1.62,0.0
2022-03-31,9.94,$-1.94,0.0
2021-12-31,11.77,$-2.30,0.0
2021-09-30,11.39,$-2.56,0.0
2021-06-30,13.93,$-2.78,0.0
2021-03-31,18.51,$-2.82,0.0
2020-12-31,17.67,$-2.58,0.0
2020-09-30,15.32,$-2.37,0.0
2020-06-30,25.48,$-2.20,0.0
2020-03-31,15.48,$-2.23,0.0
2019-12-31,11.06,$-3.02,0.0
2019-09-30,8.51,$-3.32,0.0
2019-06-30,13.54,$-3.34,0.0
2019-03-31,18.06,$-3.63,0.0
