Kulicke And Soffa Industries PE Ratio Historical Data,Kulicke And Soffa Industries PE Ratio Historical Data,Kulicke And Soffa Industries PE Ratio Historical Data,Kulicke And Soffa Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,45.18,,0.0
2024-06-30,48.96,$-1.04,0.0
2024-03-31,49.86,$-1.19,0.0
2023-12-31,54.02,$0.90,60.02
2023-09-30,47.83,$0.99,48.31
2023-06-30,58.23,$1.68,34.66
2023-03-31,51.44,$3.60,14.29
2022-12-31,43.05,$5.20,8.28
2022-09-30,37.33,$7.06,5.29
2022-06-30,41.3,$8.06,5.12
2022-03-31,53.83,$7.86,6.85
2021-12-31,58.01,$7.13,8.14
2021-09-30,55.67,$5.79,9.62
2021-06-30,58.34,$3.94,14.81
2021-03-31,46.69,$2.33,20.04
2020-12-31,30.15,$1.39,21.69
2020-09-30,21.14,$0.83,25.47
2020-06-30,19.56,$0.68,28.76
2020-03-31,19.48,$0.52,37.47
2019-12-31,25.26,$0.28,90.21
2019-09-30,21.71,$0.18,120.6
2019-06-30,20.74,$0.51,40.67
2019-03-31,20.23,$1.35,14.99
2018-12-31,18.44,$1.91,9.66
2018-09-30,21.56,$0.82,26.29
2018-06-30,21.43,$0.90,23.82
2018-03-31,22.39,$0.47,47.64
2017-12-31,21.79,$0.36,60.52
2017-09-30,19.31,$1.56,12.38
2017-06-30,17.03,$1.20,14.19
2017-03-31,18.19,$1.22,14.91
2016-12-31,14.28,$0.89,16.04
2016-09-30,11.58,$0.67,17.28
2016-06-30,10.9,$0.65,16.76
2016-03-31,10.13,$0.53,19.12
2015-12-31,10.45,$0.56,18.66
2015-09-30,8.22,$0.94,8.74
2015-06-30,10.48,$1.15,9.12
2015-03-31,13.99,$0.94,14.89
2014-09-30,12.74,$0.81,15.73
2014-06-30,12.77,$0.82,15.57
2014-03-31,11.29,$0.58,19.46
2013-12-31,11.91,$0.71,16.77
2013-09-30,10.34,$0.84,12.31
2014-12-31,12.95,$0.50,25.89
2013-06-30,9.9,$1.29,7.68
2013-03-31,10.35,$1.94,5.33
2012-12-31,10.73,$2.06,5.21
2012-09-30,9.32,$2.12,4.39
2012-06-30,7.99,$1.26,6.34
2012-03-31,11.13,$1.31,8.49
2011-12-31,8.28,$1.63,5.08
2011-09-30,6.68,$1.73,3.86
2011-06-30,9.97,$2.48,4.02
2011-03-31,8.37,$2.18,3.84
2010-12-31,6.45,$1.92,3.36
2010-09-30,5.54,$1.92,2.89
2010-06-30,6.28,$1.22,5.15
2010-03-31,6.49,$0.34,19.09
2009-12-31,4.83,$-0.48,0.0
