PagerDuty PE Ratio Historical Data,PagerDuty PE Ratio Historical Data,PagerDuty PE Ratio Historical Data,PagerDuty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.77,,0.0
2024-07-31,20.93,$-0.89,0.0
2024-04-30,19.96,$-1.01,0.0
2024-01-31,23.68,$-0.88,0.0
2023-10-31,20.17,$-0.82,0.0
2023-07-31,25.92,$-1.02,0.0
2023-04-30,30.06,$-1.20,0.0
2023-01-31,29.79,$-1.45,0.0
2022-10-31,24.94,$-1.52,0.0
2022-07-31,25.93,$-1.47,0.0
2022-04-30,28.57,$-1.38,0.0
2022-01-31,33.02,$-1.27,0.0
2021-10-31,41.75,$-1.20,0.0
2021-07-31,40.59,$-1.15,0.0
2021-04-30,42.46,$-0.99,0.0
2021-01-31,48.73,$-0.87,0.0
2020-10-31,27.1,$-0.74,0.0
2020-07-31,30.48,$-0.68,0.0
2020-04-30,21.11,$-0.66,0.0
2020-01-31,23.32,$-0.88,0.0
