JELD-WEN Holding PE Ratio Historical Data,JELD-WEN Holding PE Ratio Historical Data,JELD-WEN Holding PE Ratio Historical Data,JELD-WEN Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.74,,0.0
2024-06-30,13.47,$-0.44,0.0
2024-03-31,21.23,$0.23,92.3
2023-12-31,18.88,$0.73,25.86
2023-09-30,13.36,$1.54,8.68
2023-06-30,17.54,$0.64,27.41
2023-03-31,12.66,$0.71,17.83
2022-12-31,9.65,$0.52,18.56
2022-09-30,8.75,$0.57,15.35
2022-06-30,14.59,$1.37,10.65
2022-03-31,20.28,$1.45,13.99
2021-12-31,26.36,$1.71,15.42
2021-09-30,25.03,$1.68,14.9
2021-06-30,26.26,$1.52,17.28
2021-03-31,27.69,$1.15,24.08
2020-12-31,25.36,$0.90,28.18
2020-09-30,22.6,$0.56,40.36
2020-06-30,16.11,$0.48,33.56
2020-03-31,9.73,$0.47,20.7
2019-12-31,23.41,$0.63,37.16
2019-09-30,19.29,$0.93,20.74
2019-06-30,21.23,$1.03,20.61
2019-03-31,17.66,$1.14,15.49
2018-12-31,14.21,$1.35,10.53
2018-09-30,24.66,$0.08,308.25
2018-06-30,28.59,$0.28,102.11
2018-03-31,30.62,$0.38,80.58
2017-12-31,39.37,$-0.04,0.0
