Floor & Decor Holdings PE Ratio Historical Data,Floor & Decor Holdings PE Ratio Historical Data,Floor & Decor Holdings PE Ratio Historical Data,Floor & Decor Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,108.37,,50.88
2024-06-30,99.41,$2.13,46.67
2023-12-31,111.56,$2.27,49.15
2023-09-30,90.5,$2.57,35.21
2023-06-30,103.96,$2.42,42.96
2023-03-31,98.22,$2.47,39.77
2022-12-31,69.63,$2.57,27.09
2024-03-31,129.62,$2.59,50.05
2022-09-30,70.26,$2.59,27.13
2022-06-30,62.96,$2.57,24.5
2022-03-31,81.0,$2.58,31.4
2021-12-31,130.01,$2.63,49.43
2021-09-30,120.79,$2.71,44.57
2021-06-30,105.7,$2.67,39.59
2021-03-31,95.48,$2.20,43.4
2020-12-31,92.85,$1.84,50.46
2020-09-30,74.8,$1.64,45.61
2020-06-30,57.65,$1.38,41.78
2020-03-31,32.09,$1.50,21.39
2019-12-31,50.81,$1.44,35.28
2019-09-30,51.15,$1.27,40.28
2019-06-30,41.9,$1.13,37.08
2019-03-31,41.22,$1.09,37.82
2018-12-31,25.9,$1.10,23.55
2018-09-30,30.17,$1.39,21.71
2018-06-30,49.33,$1.36,36.27
2018-03-31,52.12,$1.18,44.17
