Incyte PE Ratio Historical Data,Incyte PE Ratio Historical Data,Incyte PE Ratio Historical Data,Incyte PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,65.66,,182.39
2024-06-30,60.62,$0.36,168.39
2024-03-31,56.97,$3.30,17.26
2023-12-31,62.79,$2.65,23.69
2023-09-30,57.77,$1.89,30.57
2023-06-30,62.25,$1.63,38.19
2023-03-31,72.27,$1.45,49.84
2022-12-31,80.32,$1.52,52.84
2022-09-30,66.64,$3.93,16.96
2022-06-30,75.97,$4.25,17.88
2022-03-31,79.42,$4.20,18.91
2021-12-31,73.4,$4.27,17.19
2021-09-30,68.78,$2.41,28.54
2021-06-30,84.13,$1.52,55.35
2021-03-31,81.27,$2.17,37.45
2020-12-31,86.98,$-1.40,0.0
2020-09-30,89.74,$-1.57,0.0
2020-06-30,103.97,$-0.91,0.0
2020-03-31,73.23,$-1.75,0.0
2019-12-31,87.32,$2.05,42.6
2019-09-30,74.23,$1.86,39.91
2019-06-30,84.96,$1.41,60.26
2019-03-31,86.01,$1.17,73.51
2018-12-31,63.59,$0.51,124.69
2018-09-30,69.08,$-0.52,0.0
2018-06-30,67.0,$-0.49,0.0
2018-03-31,83.33,$-0.79,0.0
2017-12-31,94.71,$-1.56,0.0
2017-09-30,116.74,$-0.80,0.0
2017-06-30,125.91,$-0.78,0.0
2017-03-31,133.67,$-0.54,0.0
2016-12-31,100.27,$0.54,185.69
2016-09-30,94.29,$0.78,120.88
2016-06-30,79.98,$0.37,216.16
2016-03-31,72.47,$0.24,301.96
2015-12-31,108.45,$0.01,0.0
2015-09-30,110.38,$-0.50,0.0
2015-06-30,104.21,$0.05,2084.2
2015-03-31,91.66,$-0.22,0.0
2014-12-31,73.11,$-0.32,0.0
2014-09-30,49.05,$-0.36,0.0
2014-06-30,56.44,$-0.83,0.0
2014-03-31,53.52,$-0.63,0.0
2013-12-31,50.63,$-0.54,0.0
2013-09-30,38.15,$-0.14,0.0
2013-06-30,22.0,$-0.17,0.0
2013-03-31,23.41,$-0.12,0.0
2012-12-31,16.61,$-0.36,0.0
2012-09-30,18.05,$-0.94,0.0
2012-06-30,22.7,$-1.19,0.0
2012-03-31,19.3,$-1.63,0.0
2011-12-31,15.01,$-1.49,0.0
2011-09-30,13.97,$-0.81,0.0
2011-06-30,18.94,$-0.65,0.0
2011-03-31,15.85,$-0.22,0.0
2010-12-31,16.56,$-0.30,0.0
2010-09-30,15.99,$-1.28,0.0
2010-06-30,11.07,$-1.46,0.0
2010-03-31,13.93,$-1.89,0.0
2009-12-31,9.11,$-2.00,0.0
